episode,reward,picks_per_hour,dist_per_agent,congestion_rate,num_items,norm_picks,norm_distance,norm_congestion,lambda_base,beta,jobs_arrived,jobs_completed,aisle_width,centre_aisle_width,depot_count,depot_cols,shelf_start_row,shelf_end_row,cross_aisle_row,cross_aisle_on
1,0.7399540129279434,210.0,1989.1895799148804,0.12658429019825976,272,0.9590862598022503,0.347493384362932,0.8699502991959717,0.06,0.3,217.0,210.0,2,3,2,"[11, 23]",7,23,13,0
2,0.7858486072522504,219.66666666666666,1894.0851339092624,0.09391243062285261,320,1.0,0.40128870675996725,0.9136549880606505,0.06,0.3,229.66666666666666,219.66666666666666,2,3,4,"[7, 14, 21, 28]",2,22,22,1
3,0.667338692089982,193.66666666666666,1731.0882603306502,0.28170388440607996,288,0.8477099670417092,0.4934870185334492,0.6624489910435865,0.06,0.3,210.0,193.66666666666666,2,5,3,"[8, 17, 26]",3,20,10,0
4,0.6690276574822465,199.0,2004.266471101191,0.21230199547418227,288,0.8840777361063757,0.33896522131506895,0.7552869256395326,0.06,0.3,208.0,199.0,2,5,1,[17],2,21,17,1
5,0.7326258074852452,208.33333333333334,1902.2024966238052,0.1614950634696756,264,0.9477213319695421,0.3966971638554777,0.8232506468443482,0.06,0.3,214.0,208.33333333333334,3,5,3,"[8, 17, 26]",2,23,10,0
6,0.7695443284077611,217.66666666666666,2027.2828229109036,0.08214118945536358,304,1.0,0.32594614473126826,0.9294012124709516,0.06,0.3,224.33333333333334,217.66666666666666,2,3,4,"[7, 14, 21, 28]",3,23,9,1
7,0.7769917561520733,223.66666666666666,1840.532060821555,0.12744880280751633,256,1.0,0.4315807167879215,0.8687938527892421,0.06,0.3,224.33333333333334,223.66666666666666,2,3,3,"[8, 17, 26]",4,19,13,0
8,0.6940114874192762,199.66666666666666,1982.5334599744517,0.17505093245572795,304,0.8886237072394589,0.35125838308956925,0.8051171508014194,0.06,0.3,215.66666666666666,199.66666666666666,2,5,3,"[8, 17, 26]",3,23,7,1
9,0.5147037041780698,143.66666666666666,1423.0221574867765,0.47350416908463394,304,0.5067621320604614,0.6677429657381198,0.4058804370962384,0.06,0.3,219.66666666666666,143.66666666666666,2,1,2,"[11, 23]",5,23,15,0
10,0.49682899229230193,143.0,1506.5570415785353,0.47786917352134745,288,0.5022161609273781,0.6204919043014159,0.40004143180915935,0.06,0.3,216.0,143.0,2,5,1,[17],4,23,19,1
11,0.7602381986621582,221.0,1937.953950367135,0.12786314873876486,272,1.0,0.37647454481859793,0.8682395880414471,0.06,0.3,229.66666666666666,221.0,2,3,2,"[11, 23]",5,21,13,0
12,0.6843460445285716,197.66666666666666,1815.6160791288742,0.23840445269016697,272,0.874985793840209,0.4456743088784239,0.7203700342824545,0.06,0.3,209.66666666666666,197.66666666666666,2,1,3,"[8, 17, 26]",6,22,10,0
13,0.6395528464662399,201.33333333333334,2180.290362763079,0.22048401319442176,256,0.8999886350721673,0.2393982462761448,0.7443419551543654,0.06,0.3,222.66666666666666,201.33333333333334,2,5,1,[17],6,23,14,1
14,0.6463943847944348,186.66666666666666,1704.0994226737623,0.3026436376454001,304,0.7999772701443345,0.5087531105391558,0.6344381764734692,0.06,0.3,216.33333333333334,186.66666666666666,2,1,2,"[11, 23]",5,23,5,0
15,0.7907437369381396,220.0,1804.2138423332744,0.11326569315380239,256,1.0,0.45212392327847406,0.8877663998864934,0.06,0.3,222.66666666666666,220.0,2,3,4,"[7, 14, 21, 28]",3,20,17,1
16,0.707880979097895,215.33333333333334,2233.1914991858894,0.12953313146961482,240,0.9954540288669168,0.20947500074389575,0.8660056755366283,0.06,0.3,222.33333333333334,215.33333333333334,2,3,1,[17],7,23,16,1
17,0.6052641758485398,178.0,1657.7966013293571,0.3610620648299297,240,0.7408796454142517,0.5349440543565191,0.5562926647932714,0.06,0.3,223.66666666666666,178.0,2,1,3,"[8, 17, 26]",8,22,10,0
18,0.7634877714783217,208.33333333333334,1916.934002145271,0.09914522304336212,240,0.9477213319695421,0.38836436636592453,0.9066551549442041,0.06,0.3,214.33333333333334,208.33333333333334,3,5,4,"[7, 14, 21, 28]",4,23,14,0
19,0.7636375113316203,217.66666666666666,2007.1284646259044,0.09957218354164919,272,1.0,0.3373463499496746,0.9060840158667949,0.06,0.3,220.0,217.66666666666666,2,3,3,"[8, 17, 26]",6,22,19,0
20,0.6456966616925612,187.66666666666666,1736.892690497476,0.2973707428974766,288,0.8067962268439595,0.4902037735825556,0.6414916539115169,0.06,0.3,209.0,187.66666666666666,2,1,3,"[8, 17, 26]",4,23,11,1
21,0.6870672949998071,208.0,2092.7024416099043,0.18494980862280638,336,0.9454483464030004,0.28894188649926117,0.7918755628228217,0.06,0.3,221.66666666666666,208.0,2,3,1,[17],3,23,18,0
22,0.6736304850538972,205.66666666666666,2299.581116429834,0.13553162404561064,240,0.9295374474372087,0.1719220680109424,0.8579815760486297,0.06,0.3,229.0,205.66666666666666,3,5,1,[17],2,23,7,1
23,0.7466907295347389,225.66666666666666,2055.159104614242,0.11601157830591104,264,1.0,0.31017807473616954,0.8840932677847203,0.06,0.3,233.33333333333334,225.66666666666666,3,3,2,"[11, 23]",2,23,8,0
24,0.7402059429463569,219.33333333333334,1810.8626861625437,0.2056071122202293,256,1.0,0.4483630402452881,0.7642425771819261,0.06,0.3,226.33333333333334,219.33333333333334,2,1,3,"[8, 17, 26]",5,22,21,1
25,0.6803071862784315,202.0,2172.951411889952,0.14919453046170975,320,0.9045346062052506,0.24354948467621446,0.8397048975349798,0.06,0.3,214.33333333333334,202.0,2,3,1,[17],2,23,6,1
26,0.4504168880276083,133.0,1478.2639543160801,0.5353497491494147,336,0.4340265939311286,0.6364957381369163,0.32315047101798705,0.06,0.3,220.0,133.0,2,1,1,[17],2,22,20,0
27,0.7309523204785648,209.0,2062.554777685676,0.11631733594515181,240,0.9522673031026253,0.30599475172730245,0.8836842600739663,0.06,0.3,216.0,209.0,2,3,2,"[11, 23]",7,23,13,1
28,0.7587827794883321,215.0,1961.7571812243098,0.11921104536489152,288,0.993181043300375,0.36301037430045896,0.8798133855202047,0.06,0.3,218.33333333333334,215.0,2,3,2,"[11, 23]",5,22,5,0
29,0.7674497729636103,223.33333333333334,1999.0198891801629,0.09501900380076016,288,1.0,0.3419329223824564,0.9121747406221836,0.06,0.3,230.33333333333334,223.33333333333334,2,3,4,"[7, 14, 21, 28]",3,22,9,1
30,0.736103305641016,204.33333333333334,1894.3274704667494,0.1422007255139057,240,0.9204455051710422,0.4011516303793548,0.8490604124397422,0.06,0.3,207.0,204.33333333333334,3,5,2,"[11, 23]",4,23,9,0
31,0.7570734429855082,227.0,2168.7759593973155,0.06057490644405149,256,1.0,0.24591130709807696,0.9582501271402127,0.06,0.3,232.0,227.0,2,3,3,"[8, 17, 26]",8,23,16,0
32,0.7718638386626548,220.0,1987.0601158559257,0.09056248125776464,264,1.0,0.34869790434486425,0.918136168397989,0.06,0.3,228.33333333333334,220.0,3,5,4,"[7, 14, 21, 28]",2,23,15,0
33,0.7133314750328501,205.33333333333334,1743.0460126624912,0.236559533843955,288,0.9272644618706671,0.48672317973460594,0.7228379563781705,0.06,0.3,212.0,205.33333333333334,2,1,4,"[7, 14, 21, 28]",2,21,9,1
34,0.7029509425839835,194.33333333333334,1569.161230128543,0.26905048326212305,288,0.8522559381747926,0.5850801791097934,0.6793752684965193,0.06,0.3,202.33333333333334,194.33333333333334,2,1,3,"[8, 17, 26]",2,19,12,0
35,0.733244360756091,221.66666666666666,2129.54523787738,0.11755067825026673,288,1.0,0.26810195538710213,0.882034435349901,0.06,0.3,232.0,221.66666666666666,2,3,2,"[11, 23]",6,23,13,0
36,0.655162236323622,188.66666666666666,1815.7722114322005,0.258487885133114,304,0.8136151835435844,0.44558599347418365,0.6935047080457291,0.06,0.3,222.0,188.66666666666666,2,5,4,"[7, 14, 21, 28]",3,23,3,1
37,0.7273520893824904,216.33333333333334,1950.2061906315676,0.1854382918990802,240,1.0,0.3695441304920989,0.7912221255871518,0.06,0.3,221.33333333333334,216.33333333333334,3,3,1,[17],2,21,10,0
38,0.7683365295151281,232.0,2072.2899858374553,0.07012487992315082,252,1.0,0.30048808318421166,0.9454752613996614,0.06,0.3,235.0,232.0,3,5,4,"[7, 14, 21, 28]",3,23,5,0
39,0.7298343099165452,204.66666666666666,1950.9118852947977,0.13724606815203144,288,0.9227184907375837,0.36914495807149417,0.8556881881845547,0.06,0.3,214.0,204.66666666666666,2,1,4,"[7, 14, 21, 28]",4,23,6,1
40,0.6771476866307499,202.66666666666666,1782.8983636209323,0.2813494589433482,304,0.9090805773383338,0.4641809100707619,0.6629231010200529,0.06,0.3,230.33333333333334,202.66666666666666,2,5,4,"[7, 14, 21, 28]",2,20,5,0
41,0.5818724124425206,172.0,1571.1548458793588,0.4093173644791976,240,0.6999659052165019,0.5839525009984607,0.49174222644507964,0.06,0.3,216.66666666666666,172.0,3,1,3,"[8, 17, 26]",2,21,13,0
42,0.5682882755334089,165.0,1525.566588918903,0.4224003192444548,304,0.6522332083191272,0.6097392552850242,0.4742413411304087,0.06,0.3,213.0,165.0,2,1,3,"[8, 17, 26]",4,22,17,0
43,0.7449293849315791,218.66666666666666,2032.8398415093304,0.1263816805990254,320,1.0,0.3228028468138288,0.8702213272185761,0.06,0.3,222.33333333333334,218.66666666666666,2,3,2,"[11, 23]",4,23,9,0
44,0.7085098995656864,208.66666666666666,1964.477129267247,0.18808988764044943,304,0.9499943175360835,0.3614718502038637,0.7876751231092556,0.06,0.3,222.66666666666666,208.66666666666666,2,5,4,"[7, 14, 21, 28]",3,23,3,1
45,0.44773492531576253,120.66666666666667,1339.4951043529106,0.5372186122070086,320,0.34992612796908745,0.7149895976352781,0.320650519086132,0.06,0.3,215.0,120.66666666666667,2,1,1,[17],2,23,17,1
46,0.6198586790800228,188.33333333333334,1840.2939750751805,0.3154154457579738,288,0.8113421979770429,0.4317153887199109,0.6173535076773418,0.06,0.3,213.33333333333334,188.33333333333334,2,1,1,[17],2,21,15,1
47,0.5794202595448463,166.33333333333334,1626.861307232373,0.37456875308033516,352,0.6613251505852938,0.5524424383889129,0.5382249571314608,0.06,0.3,222.66666666666666,166.33333333333334,2,5,4,"[7, 14, 21, 28]",2,23,10,0
48,0.6353403089438339,186.33333333333334,1812.7443396244414,0.2875725650397764,304,0.797704284577793,0.44729869300524105,0.6545985391723089,0.06,0.3,221.33333333333334,186.33333333333334,2,5,3,"[8, 17, 26]",2,22,9,1
49,0.768152012997658,235.0,2073.0456055490818,0.07023008555527868,352,1.0,0.3000606709263862,0.9453345292993552,0.06,0.3,240.66666666666666,235.0,2,3,4,"[7, 14, 21, 28]",2,23,5,0
50,0.7120064445754728,221.66666666666666,2138.0057536780046,0.15455903189982,336,1.0,0.26331630977056664,0.8325288791107572,0.06,0.3,225.66666666666666,221.66666666666666,2,5,3,"[8, 17, 26]",3,23,4,0
51,0.615134649280726,191.0,1838.9981735054732,0.3348502836037462,288,0.8295260825093761,0.4324483519632998,0.5913557973473083,0.06,0.3,224.33333333333334,191.0,2,1,1,[17],4,21,8,0
52,0.735246302207264,207.66666666666666,1971.3693792602426,0.13211326238070925,304,0.9431753608364586,0.3575732857730035,0.8625542705610633,0.06,0.3,213.66666666666666,207.66666666666666,2,3,2,"[11, 23]",3,23,10,1
53,0.5060051457907097,145.66666666666666,1613.2265055321852,0.4370858876710632,320,0.5204000454597113,0.5601548912140724,0.4545966619714364,0.06,0.3,211.66666666666666,145.66666666666666,2,5,1,[17],2,21,16,0
54,0.7487426329753736,214.33333333333334,1900.0363437705184,0.1550004122351389,352,0.9886350721672919,0.39792243665814914,0.8319384508193531,0.06,0.3,220.66666666666666,214.33333333333334,2,1,4,"[7, 14, 21, 28]",2,23,2,0
55,0.7014250701869619,215.0,2217.107644820566,0.14542500971148073,352,0.993181043300375,0.21857274714071961,0.8447473326365836,0.06,0.3,219.0,215.0,2,3,1,[17],2,23,6,0
56,0.6781964323338358,204.66666666666666,1990.2341168581977,0.22128139994355067,352,0.9227184907375837,0.3469025476146894,0.7432753020703846,0.06,0.3,234.0,204.66666666666666,2,5,4,"[7, 14, 21, 28]",2,23,11,0
