tick,agent_1,agent_2,agent_3,agent_4
0,,,,
1,0.0001,,,
2,0.5035,,,
3,0.7155,,,
4,0.6954,,,
5,1.1317,0.0005,,
6,0.7521,1.1753,,
7,1.1796,0.8711,,
8,1.1798,0.898,,
9,1.101,0.3972,,
10,1.0705,0.6426,,
11,0.9997,0.9534,0.0001,
12,0.9305,0.7271,1.104,
13,1.1226,1.0237,1.1027,
14,1.069,1.1238,1.1034,
15,1.1604,0.9584,1.104,
16,0.9939,1.0638,0.5521,
17,1.0601,1.1143,0.7021,
18,0.8748,0.7878,0.8099,0.0
19,0.8605,0.9816,1.0752,1.2473
20,1.1275,0.8014,1.0171,1.2476
21,1.0808,0.9546,1.1183,1.0399
22,1.1352,1.1331,0.898,0.2486
23,1.1604,1.0969,1.1602,1.2749
24,1.0422,1.0892,0.967,0.9567
25,1.1844,0.9557,0.8456,0.9821
26,0.9135,1.0411,1.1142,0.993
27,1.0585,0.9632,1.1491,1.2665
28,1.1293,1.0733,1.1306,1.2638
29,1.2236,1.0671,1.1541,1.2231
30,1.2007,1.1099,0.9713,1.267
31,1.1798,0.8546,1.1111,1.2637
32,1.1901,1.0693,1.1518,1.23
33,0.8925,0.9537,0.9035,0.9638
34,1.133,1.2122,1.015,0.8257
35,1.1506,1.2122,1.137,1.2363
36,0.9613,1.2122,1.0856,0.9356
37,0.9867,0.9731,1.1267,1.006
38,1.0091,1.0921,0.8921,0.7748
39,1.1997,0.8854,1.1389,1.1999
40,1.0283,0.985,1.1535,1.1782
41,1.2338,1.0594,1.111,1.1703
42,0.9694,1.0035,0.9813,0.8789
43,1.2327,0.8457,1.1544,1.1152
44,1.2346,0.7645,1.0309,1.2301
45,1.0297,0.9124,0.9932,1.1692
46,1.0492,0.8947,0.9175,0.9114
47,1.1257,0.951,0.7452,1.1077
48,1.1682,0.8754,1.1622,0.7915
49,0.5955,1.078,1.1977,1.1513
50,1.1726,1.0782,0.8141,0.8547
51,0.8619,0.9242,1.2317,0.9588
52,1.1534,0.8782,1.1349,1.1088
53,1.1534,1.1455,1.1349,1.1887
54,1.1534,1.1802,0.2838,0.8325
55,0.8748,1.0922,1.1427,0.9163
56,1.1446,1.0461,0.9143,1.0681
57,0.9337,0.9803,1.175,1.0762
58,1.0188,1.1643,0.9792,1.1847
59,0.8426,1.1387,0.9991,1.0817
60,1.2515,1.039,1.012,1.0285
61,1.095,0.9396,1.0153,0.922
62,1.2484,0.9914,1.0261,0.9095
63,1.2389,0.9419,1.1705,0.9447
64,1.2178,0.6841,1.1646,0.9668
65,1.113,0.9242,1.1276,0.948
66,1.1597,0.8115,1.1404,0.9511
67,1.0226,0.5085,1.1694,0.9486
68,1.1786,0.9411,1.0439,0.6898
69,1.0438,0.902,0.8996,0.7031
70,1.1169,1.1045,0.7706,0.8857
71,1.1624,1.1393,0.7314,0.928
72,1.1604,1.0802,0.7637,0.8205
73,0.8892,1.0802,0.7069,0.9593
74,1.0204,0.9002,0.6252,0.9888
75,1.1869,1.1054,0.6042,1.0047
76,1.1836,0.9587,0.6424,0.9782
77,0.9641,1.062,0.9515,0.7443
78,1.0964,1.0702,0.7332,0.8819
79,0.8338,0.8231,1.017,0.7952
80,1.1423,1.0124,1.2111,0.9597
81,0.9593,1.0014,1.2061,1.0374
82,1.0991,0.8535,1.211,1.0275
83,0.8922,1.1342,1.0848,0.885
84,0.9811,1.1418,1.207,0.9268
85,0.9258,1.0927,1.028,1.0794
86,0.7561,1.0873,1.193,1.0685
87,0.7319,0.9201,1.0094,0.7424
88,0.8348,0.9143,0.9916,0.8482
89,0.8648,0.9629,1.1053,0.8261
90,1.0547,1.0927,0.9259,0.8734
91,1.02,0.6273,1.1609,1.1538
92,0.9587,0.8201,1.159,1.1922
93,0.9391,0.8162,1.1542,0.979
94,0.7902,0.8208,1.1127,1.0277
95,0.8252,0.8034,1.0726,1.1068
96,0.891,0.8528,1.0893,1.0512
97,0.9983,1.096,1.1394,0.8903
98,0.9507,1.0615,1.0983,0.9673
99,0.9844,0.7399,0.82,1.2091
100,1.0234,0.9953,0.8775,1.117
101,1.0418,1.0622,1.1174,1.0057
102,0.8226,0.734,1.0989,1.0349
103,0.7983,0.9462,0.7827,1.1944
104,0.8734,1.016,1.1594,1.1857
105,0.9397,0.9321,1.0861,1.0741
106,1.0515,0.9295,0.8206,1.1134
107,1.0264,0.8881,1.063,0.9223
108,1.1911,0.9082,0.925,1.1986
109,1.2084,0.6875,1.0378,1.0619
110,1.2084,0.854,1.1968,1.2237
111,0.9316,0.7941,1.0472,1.2024
112,0.9206,0.8371,1.1287,1.2024
113,0.9029,0.8516,1.1325,1.2024
114,0.85,0.7877,1.1803,1.0226
115,1.1665,0.9327,1.1835,1.1887
116,1.165,0.9657,1.1994,0.8867
117,1.0395,0.8903,1.1994,1.0208
118,1.2348,0.8657,0.9426,0.9757
119,0.9732,0.7787,0.7248,0.8069
120,1.1219,0.7954,0.8601,0.9416
121,1.1219,0.7763,0.9222,0.912
122,1.1219,0.78,0.9172,1.0785
123,0.9107,0.7914,0.8118,1.0477
124,0.9638,0.5404,0.6837,0.91
125,0.8872,0.7498,0.5524,0.8525
126,1.1221,0.9844,0.7412,1.0257
127,1.1313,0.8407,0.9841,1.055
128,1.1052,0.9066,0.8555,1.0238
129,0.672,0.6432,1.0169,1.0626
130,0.9391,0.9136,1.0358,0.9633
131,1.2569,0.8514,1.0644,0.998
132,1.2569,0.7909,1.0618,0.9283
133,1.2569,0.8656,1.0073,0.8592
134,1.2383,0.7046,1.1507,1.0315
135,1.2469,0.7432,1.0948,0.8417
136,1.0137,0.8071,1.1456,1.0483
137,1.237,0.9849,1.1274,1.0078
138,1.0354,0.9861,1.189,0.8991
139,1.1041,0.8693,0.8771,1.0233
140,1.1704,0.9181,0.9811,1.0706
141,0.9948,1.1135,1.2237,1.1878
142,1.0594,1.0915,1.2208,1.1664
143,1.0711,0.9389,1.2208,1.1098
144,1.1002,1.1287,1.2208,1.1679
145,1.0625,0.9876,1.2207,0.9153
146,1.147,1.0934,0.8134,0.4917
147,0.8152,1.0792,0.8385,0.3347
148,1.1123,0.9798,0.7745,0.6617
149,0.9097,0.963,0.7756,0.6489
150,1.2536,0.7882,1.1741,0.944
151,1.2551,0.9945,1.0146,0.9413
152,0.954,1.0547,0.9902,0.9066
153,1.2866,0.8805,1.019,1.2206
154,1.0019,1.0486,1.1439,0.9765
155,1.0756,1.0488,1.1034,0.9777
156,1.277,1.0488,1.11,1.0162
157,1.0642,0.7869,1.0598,1.1704
158,1.2445,1.0736,1.1559,1.1363
159,1.1966,1.0084,0.939,1.0836
160,0.8759,0.8728,1.1286,0.9562
161,0.9584,0.9844,0.8862,1.0033
162,0.9842,0.8794,1.1263,0.9888
163,1.0647,0.7963,0.8751,1.063
164,0.9236,1.152,0.9797,0.9979
165,1.1237,1.1125,1.1094,1.0651
166,1.0615,1.1093,1.1511,1.0485
167,1.0761,0.9805,1.0538,0.9968
168,1.0994,1.1117,1.1201,0.8768
169,0.8452,1.079,0.8631,1.0365
170,1.226,1.1442,0.924,1.1612
171,1.1706,0.9658,1.1341,1.1502
