tick,agent_id,picks,distance,idle_ticks,slow_ticks,walk_ticks
600,1,4.2,173.8,262.4,78.5,257.7
600,2,3.0,128.1,313.7,81.1,226.6
600,3,2.2,92.3,434.5,37.4,124.5
600,4,1.3,60.6,466.2,51.4,110.8
1200,1,9.1,351.9,490.4,167.4,532.1
1200,2,6.9,276.2,622.8,138.0,440.5
1200,3,5.0,202.2,774.7,119.5,328.0
1200,4,2.6,131.0,896.5,118.1,253.5
1800,1,13.8,538.4,709.1,256.2,817.8
1800,2,11.0,442.9,957.5,162.7,622.6
1800,3,7.4,296.6,1195.6,158.9,456.8
1800,4,3.9,200.5,1259.3,231.7,465.7
2400,1,18.4,733.1,899.0,367.7,1135.6
2400,2,15.8,634.2,1182.2,237.3,902.9
2400,3,11.1,421.7,1558.7,205.9,620.3
2400,4,5.5,281.8,1725.3,266.9,567.1
3000,1,22.8,909.5,1088.6,499.2,1460.4
3000,2,20.0,786.3,1462.6,304.8,1139.4
3000,3,14.2,557.2,1917.6,254.4,804.3
3000,4,6.6,345.1,2245.3,278.7,622.7
3600,1,27.8,1102.0,1321.9,573.1,1726.3
3600,2,23.2,929.6,1753.8,396.2,1385.2
3600,3,17.0,685.1,2270.7,321.8,992.5
3600,4,8.2,420.3,2734.8,297.8,702.2
4200,1,32.2,1286.8,1506.5,686.9,2053.2
4200,2,27.8,1098.8,2034.6,452.3,1613.0
4200,3,19.9,804.2,2660.9,363.5,1143.3
4200,4,10.0,515.3,3186.2,327.3,814.9
4800,1,36.5,1481.5,1708.2,791.0,2366.9
4800,2,32.1,1273.4,2295.7,522.7,1864.8
4800,3,22.9,920.6,3052.8,406.6,1293.8
4800,4,11.6,591.0,3628.2,376.5,940.0
5400,1,41.2,1678.4,1871.1,918.9,2707.9
5400,2,37.0,1458.7,2518.4,606.0,2146.9
5400,3,26.6,1064.0,3374.7,462.2,1495.3
5400,4,13.7,687.9,4085.1,401.5,1040.9
6000,1,45.9,1858.8,2053.2,1039.9,3032.8
6000,2,42.0,1641.5,2787.5,653.9,2377.5
6000,3,30.2,1207.9,3754.0,485.5,1643.2
6000,4,16.1,789.5,4481.7,457.2,1200.3
6600,1,50.4,2045.2,2276.7,1128.7,3317.7
6600,2,45.6,1793.2,3032.6,763.5,2658.6
6600,3,32.9,1321.9,4127.1,544.8,1814.9
6600,4,17.8,880.9,4892.9,518.9,1354.1
7200,1,54.7,2222.5,2504.0,1231.4,3603.5
7200,2,49.8,1947.8,3303.2,844.9,2907.5
7200,3,35.2,1429.0,4549.0,580.8,1946.1
7200,4,19.2,955.0,5290.2,604.4,1527.8
7800,1,58.9,2376.3,2754.9,1332.1,3870.1
7800,2,53.0,2088.7,3557.9,950.5,3184.7
7800,3,38.1,1537.5,4954.2,616.7,2086.8
7800,4,20.3,1015.4,5805.6,621.1,1589.4
8400,1,63.5,2549.2,2988.3,1426.7,4142.8
