row,col,avg_count
0,6,768.1
0,7,230.3
0,8,532.8
0,13,310.4
0,14,120.7
0,15,418.2
0,20,415.0
0,21,66.0
0,22,167.9
0,27,814.7
0,28,236.0
0,29,748.7
1,6,204.0
1,7,2672.7
1,8,163.3
1,13,98.4
1,14,1555.4
1,15,145.4
1,17,0.1
1,20,142.5
1,21,1305.1
1,22,95.8
1,25,0.1
1,27,225.0
1,28,3003.8
1,29,209.1
1,31,0.1
2,5,0.1
2,6,0.1
2,7,0.3
2,13,0.1
2,14,0.6
2,15,0.4
2,18,0.2
2,20,0.3
2,21,0.1
2,22,0.2
2,23,0.2
2,27,0.1
2,28,0.1
3,5,0.4
3,6,0.1
3,8,0.2
3,9,0.2
3,12,0.1
3,14,0.1
3,15,0.3
3,16,0.2
3,18,0.2
3,19,0.3
3,20,0.2
3,21,0.1
3,22,0.1
3,25,0.9
3,26,0.8
3,27,0.6
3,29,0.5
3,32,0.1
4,1,0.2
4,5,0.4
4,8,0.2
4,13,0.6
4,16,0.1
4,18,0.1
4,21,1.2
4,25,0.1
4,26,0.1
4,29,0.6
5,5,0.1
5,8,0.4
5,12,0.2
5,13,1.0
5,18,0.2
5,21,1.0
5,29,0.3
6,1,0.1
6,5,0.3
6,13,0.9
6,16,0.2
6,18,0.2
6,21,0.3
6,26,0.1
6,29,0.1
6,33,1.1
7,1,0.1
7,5,0.3
7,13,0.2
7,16,0.4
7,18,0.5
7,29,0.2
7,33,0.2
8,4,0.1
8,8,0.4
8,9,0.1
8,12,0.1
8,13,0.3
8,16,0.4
8,18,0.6
8,22,0.4
8,26,0.2
8,29,0.2
9,8,0.3
9,9,0.1
9,13,0.1
9,17,0.1
9,18,0.2
9,22,0.2
9,29,0.4
10,13,0.4
10,29,0.3
10,33,0.1
11,1,0.1
11,9,0.1
11,12,0.2
11,13,0.3
11,16,0.1
11,18,0.3
11,26,0.1
11,29,0.4
11,33,0.1
12,5,0.1
12,8,0.2
12,9,0.4
12,13,0.5
12,18,0.1
12,21,0.1
12,22,0.5
12,29,0.3
13,1,0.2
13,5,0.1
13,12,0.8
13,13,0.1
13,21,0.1
13,22,0.1
14,1,0.1
14,4,0.1
14,12,0.1
14,21,0.4
14,25,0.1
14,26,0.3
14,29,0.1
15,0,0.1
15,1,0.4
15,16,0.1
15,17,0.1
15,21,0.2
15,26,0.4
15,29,0.1
15,33,0.1
16,13,0.1
16,29,0.2
16,33,0.1
17,8,0.2
17,13,0.3
17,21,0.1
17,22,0.1
17,25,0.2
17,26,0.1
18,5,0.3
18,13,0.2
18,25,0.2
18,30,0.1
18,33,0.5
19,5,0.4
19,12,0.1
19,13,0.9
19,21,0.2
19,26,0.1
19,29,0.6
19,33,0.1
20,12,0.2
20,13,0.3
20,16,0.1
20,21,0.2
20,25,0.1
20,26,0.2
20,29,0.2
21,25,0.1
22,21,0.1
22,22,0.1
