tick,agent_1,agent_2,agent_3,agent_4
0,,,,
1,,,,
2,,,,
3,0.0006,,,
4,1.3305,,,
5,1.3305,,,
6,0.6659,,,
7,1.2675,,,
8,1.0594,,,
9,0.9918,,,
10,1.2675,,,
11,1.2675,,,
12,1.2675,,,
13,1.2675,,,
14,1.2675,,,
15,1.2675,,,
16,1.2675,,,
17,1.2675,,,
18,1.2675,,,
19,1.2675,,,
20,1.2658,,,
21,1.1042,,,
22,1.13,,,
23,1.2675,,,
24,1.2046,,,
25,1.2046,,,
26,1.2046,,,
27,1.2046,,,
28,1.2046,,,
29,0.6023,0.0001,,
30,1.2235,1.0956,,
31,1.2237,1.0956,,
32,1.2237,1.0956,,
33,1.2237,1.0956,,
34,0.6121,1.0956,,
35,0.7889,1.0956,0.0,
36,1.3251,1.0956,1.2317,
37,1.3251,0.5479,1.2319,
38,1.3251,1.2651,1.2319,
39,1.2307,1.2018,1.2319,
40,1.2517,0.6806,1.2319,
41,1.112,1.2229,1.2319,
42,1.2776,0.9209,0.8155,
43,1.2972,1.2113,0.8238,
44,1.166,1.2113,1.2319,
45,1.0315,1.0982,1.2319,
46,1.2792,1.0862,1.2319,
47,1.2792,1.2113,1.2319,
48,1.302,1.1369,1.2319,
49,1.2303,1.114,1.2319,
50,0.8569,1.0038,0.6162,
51,1.3346,1.1364,1.1834,
52,1.335,1.1369,1.1834,
53,1.3231,1.1075,1.1834,
54,1.3194,0.9178,1.1834,
55,1.2046,0.9985,1.1834,
56,1.2046,1.0914,1.1834,
57,1.2046,1.1575,1.1834,
58,0.4014,0.7717,1.1349,
59,0.9041,1.3049,1.1349,
60,0.9403,1.2142,1.1299,
61,1.1025,1.3041,0.7803,
62,0.957,1.2165,0.9373,
63,0.7548,0.2419,1.1349,0.0
64,0.9821,0.5878,1.1349,1.2476
65,0.8149,0.6175,1.1349,1.2476
66,0.7606,0.6244,1.1349,1.0415
67,0.7753,0.5683,,0.9856
68,0.7717,0.6159,0.0,1.2476
69,0.7727,0.3755,1.2319,1.2476
70,0.7757,0.7522,1.2319,0.6507
71,0.8595,0.7631,1.2319,1.0525
72,0.8534,0.4717,1.2319,1.3109
73,0.8624,0.8812,1.2319,1.3112
74,0.8768,0.8841,1.2319,1.3112
75,0.841,0.8907,0.616,1.3112
76,0.8779,0.8777,1.2678,1.3112
77,0.8094,0.7514,0.8453,1.3748
78,0.8404,0.5371,1.2236,1.3748
79,0.8781,0.4092,1.2236,1.3748
80,0.8435,0.3459,1.2236,1.3748
81,0.8281,0.374,1.2235,1.3748
82,0.6661,0.0928,1.2191,1.3748
83,0.5376,0.0904,1.2223,1.3748
84,0.6642,0.0384,1.1945,1.3723
85,0.7247,0.0472,0.7658,0.7047
86,0.3837,0.1301,0.3295,1.3745
87,0.7483,0.0819,0.1537,0.6874
