row,col,avg_count
0,4,0.8
0,5,3.4
0,6,1148.8
0,7,361.9
0,8,876.3
0,9,58.2
0,10,33.6
0,11,11.9
0,12,6.6
0,13,472.6
0,14,210.3
0,15,662.7
0,16,15.4
0,17,7.8
0,18,7.2
0,19,15.8
0,20,656.1
0,21,153.1
0,22,267.6
0,23,6.8
0,24,17.6
0,25,36.3
0,26,61.9
0,27,1275.9
0,28,372.4
0,29,1130.1
0,30,1.0
1,4,11.3
1,5,48.3
1,6,558.8
1,7,4022.2
1,8,395.4
1,9,47.7
1,10,59.7
1,11,76.8
1,12,91.8
1,13,326.3
1,14,2480.0
1,15,404.8
1,16,79.2
1,17,77.2
1,18,83.5
1,19,73.8
1,20,386.2
1,21,2076.0
1,22,291.0
1,23,83.6
1,24,81.1
1,25,54.9
1,26,48.6
1,27,581.4
1,28,4500.7
1,29,511.1
1,30,39.6
1,31,1.0
2,2,0.9
2,3,45.7
2,4,37.1
2,5,9.7
2,6,95.1
2,7,52.1
2,8,78.6
2,9,38.6
2,10,51.5
2,11,57.6
2,12,68.2
2,13,117.5
2,14,107.3
2,15,138.1
2,16,101.0
2,17,111.5
2,18,109.4
2,19,124.2
2,20,96.4
2,21,158.0
2,22,71.3
2,23,72.9
2,24,47.4
2,25,52.8
2,26,32.4
2,27,111.1
2,28,57.6
2,29,59.9
2,30,16.3
2,31,48.7
2,32,8.6
3,1,54.3
3,2,73.7
3,3,24.0
3,4,20.9
3,5,122.2
3,6,81.7
3,7,53.3
3,8,120.7
3,9,63.3
3,10,80.1
3,11,78.7
3,12,47.3
3,13,134.9
3,14,75.9
3,15,76.2
3,16,79.2
3,17,27.7
3,18,66.1
3,19,80.6
3,20,76.6
3,21,132.4
3,22,55.1
3,23,67.9
3,24,86.1
3,25,67.6
3,26,113.0
3,27,74.0
3,28,69.8
3,29,138.3
3,30,21.0
3,31,23.0
3,32,69.8
3,33,54.7
4,0,0.1
4,1,69.1
4,4,2.1
4,5,112.7
4,8,76.4
4,9,46.4
4,12,20.7
4,13,103.6
4,16,58.7
4,17,3.5
4,18,53.4
4,21,101.5
4,22,28.5
4,25,42.6
4,26,82.4
4,29,120.3
4,30,4.6
4,33,64.4
5,0,0.1
5,1,56.6
5,4,4.7
5,5,98.4
5,8,73.3
5,9,43.5
5,12,22.8
5,13,100.0
5,16,55.4
5,17,6.9
5,18,45.7
5,21,90.9
5,22,30.4
5,25,40.6
5,26,74.6
5,29,114.5
5,30,5.7
5,33,57.6
6,0,0.2
6,1,57.3
6,4,5.6
6,5,95.7
6,8,66.2
6,9,38.1
6,12,19.4
6,13,96.1
6,16,51.8
6,17,8.7
6,18,43.3
6,21,85.4
6,22,31.4
6,25,40.1
6,26,73.0
6,29,104.3
6,30,7.3
6,33,56.9
6,34,0.2
7,1,51.5
7,4,8.1
7,5,83.4
7,8,66.3
7,9,35.6
7,12,22.6
7,13,85.0
7,16,48.2
7,17,12.0
7,18,39.1
7,21,78.3
7,22,31.6
7,25,38.8
7,26,65.0
7,29,96.3
7,30,9.2
7,33,53.4
7,34,0.2
8,1,47.0
8,4,12.6
8,5,77.2
8,8,59.5
8,9,37.3
8,12,25.8
8,13,76.8
8,16,40.5
8,17,18.1
8,18,31.9
8,21,71.4
8,22,34.0
8,25,36.2
8,26,64.1
8,29,87.6
8,30,12.5
8,33,48.4
9,1,45.4
9,4,11.8
9,5,69.2
9,8,56.9
9,9,33.6
9,12,25.9
9,13,69.7
9,16,34.0
9,17,20.0
9,18,27.9
9,21,61.8
9,22,31.4
9,25,35.6
9,26,59.6
9,29,75.9
9,30,15.4
9,33,47.7
9,34,0.1
10,1,42.5
10,4,14.8
10,5,59.9
10,8,51.0
10,9,33.2
10,12,28.2
10,13,62.2
10,16,33.5
10,17,19.3
10,18,22.9
10,21,57.0
10,22,32.1
10,25,35.2
10,26,53.2
10,29,65.4
10,30,19.6
10,33,42.9
10,34,0.1
11,0,0.1
11,1,37.8
11,4,16.3
11,5,52.7
11,8,49.2
11,9,28.9
11,12,25.3
11,13,54.6
11,16,30.3
11,17,17.3
11,18,22.3
11,21,51.3
11,22,34.1
11,25,35.8
11,26,47.7
11,29,56.4
11,30,21.9
11,33,40.0
11,34,0.2
12,1,36.3
12,4,18.3
12,5,43.6
12,8,45.0
12,9,29.7
12,12,26.9
12,13,48.5
12,16,30.7
12,17,15.5
12,18,20.0
12,21,43.7
12,22,35.4
12,25,31.9
12,26,43.1
12,29,47.9
12,30,23.7
12,33,38.0
12,34,0.1
13,0,0.2
13,1,33.7
13,4,21.0
13,5,36.2
13,8,39.2
13,9,25.5
13,12,28.5
13,13,41.3
13,16,28.8
13,17,13.5
13,18,17.6
13,21,40.9
13,22,31.7
13,25,29.2
13,26,39.4
13,29,38.6
13,30,26.6
13,33,34.4
14,1,30.8
14,4,22.5
14,5,29.4
14,8,34.5
14,9,26.4
14,12,27.6
14,13,32.4
14,16,25.2
14,17,10.9
14,18,14.9
14,21,38.9
14,22,28.6
14,25,26.9
14,26,33.4
14,29,30.8
14,30,28.1
14,33,32.8
15,0,0.2
15,1,27.8
15,4,20.6
15,5,24.5
15,8,30.0
15,9,26.6
15,12,26.1
15,13,27.5
15,16,22.9
15,17,8.7
15,18,14.4
15,21,34.0
15,22,25.5
15,25,26.5
15,26,31.4
15,29,26.3
15,30,25.9
15,33,29.2
15,34,0.2
16,0,0.1
16,1,26.6
16,4,18.5
16,5,22.1
16,8,23.6
16,9,25.5
16,12,25.6
16,13,22.9
16,16,20.1
16,17,6.2
16,18,12.6
16,21,31.2
16,22,22.2
16,25,24.5
16,26,24.9
16,29,20.3
16,30,24.7
16,33,26.6
16,34,0.1
17,1,21.8
17,4,15.9
17,5,18.7
17,8,19.9
17,9,23.3
17,12,23.6
17,13,19.6
17,16,18.0
17,17,2.9
17,18,11.4
17,21,27.5
17,22,18.7
17,25,20.8
17,26,23.0
17,29,17.3
17,30,21.1
17,33,21.9
17,34,0.2
18,1,17.8
18,4,13.3
18,5,17.0
18,8,16.4
18,9,19.0
18,12,19.3
18,13,15.9
18,16,16.5
18,17,1.2
18,18,10.0
18,21,25.5
18,22,16.5
18,25,18.4
18,26,20.1
18,29,14.4
18,30,19.1
18,33,18.1
18,34,0.1
19,1,14.1
19,4,9.9
19,5,14.6
19,8,13.9
19,9,16.1
19,12,15.9
19,13,13.8
19,16,14.6
19,17,0.2
19,18,7.8
19,21,22.8
19,22,13.9
19,25,14.3
19,26,16.8
19,29,12.3
19,30,14.3
19,33,15.2
20,1,11.1
20,4,7.5
20,5,11.5
20,8,10.6
20,9,13.8
20,12,13.0
20,13,10.5
20,16,11.2
20,17,0.1
20,18,7.8
20,21,19.6
20,22,10.0
20,25,11.1
20,26,13.0
20,29,8.5
20,30,11.3
20,33,12.0
21,1,7.6
21,4,5.3
21,5,8.5
21,8,8.5
21,9,9.9
21,12,9.7
21,13,8.4
21,16,8.3
21,18,8.2
21,21,15.6
21,22,6.1
21,25,8.0
21,26,9.0
21,29,6.6
21,30,8.4
21,33,9.5
22,1,4.3
22,4,3.4
22,5,6.2
22,8,4.9
22,9,6.9
22,12,6.6
22,13,6.6
22,16,4.3
22,18,7.8
22,21,13.3
22,22,4.9
22,25,5.2
22,26,5.7
22,29,3.8
22,30,4.7
22,33,6.1
23,1,1.7
23,4,1.1
23,5,2.6
23,8,1.8
23,9,2.5
23,12,2.2
23,13,3.0
23,16,3.4
23,18,12.2
23,21,9.2
23,22,2.3
23,25,1.9
23,26,1.8
23,29,1.5
23,30,1.5
