episode,reward,picks_per_hour,dist_per_agent,congestion_rate,num_items,norm_picks,norm_distance,norm_congestion,lambda_base,beta,jobs_arrived,jobs_completed,aisle_width,centre_aisle_width,depot_count,depot_cols,shelf_start_row,shelf_end_row,cross_aisle_row,cross_aisle_on
1,0.6373579724543921,73.4,814.6670938269071,0.45705272645335737,320,1.0,0.6090574595310277,0.38660183648770924,0.02,0.3,73.8,73.4,2,1,2,"[11, 23]",4,23,18,0
2,0.7439188020255219,68.2,699.6766899864067,0.38579577408210813,288,0.8386411889596604,0.8139238132416188,0.6203732534128451,0.02,0.3,69.2,68.2,2,3,4,"[7, 14, 21, 28]",4,21,5,0
3,0.6675349291950169,73.8,823.0619733504931,0.43063761097659403,256,1.0,0.5941011823079103,0.47326143625660955,0.02,0.3,74.2,73.8,2,3,2,"[11, 23]",6,21,8,0
4,0.4503574612250902,62.8,809.410501620034,0.5123861829744183,320,0.6093418259023354,0.6184225790749103,0.2050703493297912,0.02,0.3,64.2,62.8,2,1,1,[17],3,22,15,0
5,0.8285932509174982,74.2,713.902370619498,0.3523651307160969,272,1.0,0.7885794086389946,0.7300485708144997,0.02,0.3,74.6,74.2,2,3,4,"[7, 14, 21, 28]",3,19,12,0
6,0.7564930982579817,75.4,778.5987689032042,0.38095774647887326,240,1.0,0.6733166147716437,0.6362452845662216,0.02,0.3,76.2,75.4,2,1,4,"[7, 14, 21, 28]",7,21,14,0
7,0.513629721042571,74.0,955.9893274827243,0.493778736005403,304,1.0,0.3572784437145248,0.26611546982053397,0.02,0.3,75.2,74.0,2,1,1,[17],3,23,14,1
8,0.7517897262973048,75.4,817.1025777668273,0.3688595855673091,320,1.0,0.6047184129877682,0.6759355060024358,0.02,0.3,76.2,75.4,2,1,3,"[8, 17, 26]",2,23,6,1
9,0.7681733591343542,73.8,736.8944475895097,0.3890428064151091,240,1.0,0.7476168342348464,0.6097207721597508,0.02,0.3,75.0,73.8,3,3,3,"[8, 17, 26]",2,21,3,0
10,0.6913822546358356,73.8,869.6376949439797,0.39349514563106797,272,1.0,0.5111220993965018,0.5951140620422127,0.02,0.3,75.6,73.8,2,5,2,"[11, 23]",2,20,4,1
11,0.5499549522762641,76.8,904.0686200167287,0.487244480784955,272,1.0,0.4497801279019006,0.287552284764235,0.02,0.3,77.2,76.8,2,3,1,[17],2,20,12,1
