row,col,avg_count
0,5,1.6
0,6,2098.4
0,7,537.6
0,8,841.8
0,9,0.5
0,10,0.5
0,11,0.3
0,12,1.4
0,13,570.4
0,14,242.8
0,15,700.2
0,16,1.9
0,17,0.4
0,18,0.5
0,19,1.3
0,20,719.5
0,21,210.2
0,22,356.3
0,23,1.4
0,24,0.4
0,25,0.5
0,26,0.8
0,27,1441.5
0,28,545.8
0,29,1610.8
0,30,1.1
0,32,0.1
1,1,7.4
1,2,50.4
1,3,0.8
1,4,0.1
1,5,8.6
1,6,272.6
1,7,3019.5
1,8,316.7
1,9,1.6
1,10,7.3
1,11,50.3
1,12,4.6
1,13,189.3
1,14,1242.8
1,15,210.3
1,16,20.0
1,17,1.4
1,18,11.1
1,19,50.8
1,20,140.1
1,21,1469.2
1,22,72.8
1,23,94.7
1,24,10.3
1,25,1.9
1,26,7.9
1,27,401.4
1,28,3098.9
1,29,306.7
1,30,0.1
1,31,0.4
1,32,45.0
1,33,5.5
2,1,51.1
2,4,0.3
2,5,18.0
2,8,36.2
2,9,2.5
2,12,46.1
2,13,14.1
2,16,67.5
2,17,0.5
2,18,45.9
2,21,75.3
2,22,100.9
2,25,1.9
2,26,50.3
2,29,11.5
2,30,0.2
2,33,44.8
3,0,0.1
3,1,3.5
3,4,0.4
3,5,6.2
3,8,2.3
3,9,1.1
3,12,0.4
3,13,4.4
3,16,2.6
3,18,1.0
3,21,4.2
3,22,0.4
3,25,0.6
3,26,2.3
3,29,6.4
3,30,0.2
3,33,3.0
3,34,0.1
4,1,2.7
4,4,0.4
4,5,7.1
4,8,2.0
4,9,1.2
4,12,0.5
4,13,4.2
4,16,2.2
4,17,0.2
4,18,1.5
4,21,3.5
4,22,0.4
4,25,0.1
4,26,1.3
4,29,4.0
4,30,0.3
4,33,3.3
5,1,2.0
5,4,0.2
5,5,3.2
5,8,1.3
5,9,0.7
5,12,1.2
5,13,3.1
5,16,1.8
5,17,0.1
5,18,0.8
5,21,3.7
5,22,0.3
5,25,0.2
5,26,0.8
5,29,1.3
5,30,0.2
5,33,2.3
5,34,0.1
6,0,0.3
6,1,3.6
6,4,0.5
6,5,4.3
6,8,1.0
6,9,0.3
6,12,1.0
6,13,2.2
6,16,2.0
6,17,0.1
6,18,0.3
6,21,2.8
6,26,1.3
6,29,2.7
6,30,0.2
6,33,2.2
7,1,2.2
7,4,0.4
7,5,2.4
7,8,1.8
7,9,1.1
7,12,0.1
7,13,2.0
7,16,1.1
7,18,1.3
7,21,0.8
7,22,0.6
7,25,0.2
7,26,0.8
7,29,4.4
7,30,0.1
7,33,1.8
8,0,0.1
8,1,1.5
8,4,0.1
8,5,1.6
8,8,1.7
8,9,0.3
8,12,0.4
8,13,1.3
8,16,2.0
8,17,1.0
8,18,0.8
8,21,2.7
8,22,0.4
8,25,1.3
8,26,0.8
8,29,3.4
8,30,0.3
8,33,1.6
8,34,0.1
9,1,0.7
9,4,0.2
9,5,1.5
9,8,1.9
9,9,0.4
9,12,0.1
9,13,1.0
9,16,2.2
9,18,1.1
9,21,1.3
9,22,0.2
9,25,0.2
9,26,2.0
9,29,0.8
9,30,0.1
9,33,3.3
10,1,1.8
10,4,0.6
10,5,1.0
10,8,1.8
10,9,0.4
10,12,0.8
10,13,1.6
10,16,1.9
10,18,0.6
10,21,1.1
10,25,0.3
10,26,0.7
10,29,1.2
10,30,0.3
10,33,1.2
10,34,0.2
11,1,1.3
11,4,0.2
11,5,1.0
11,8,0.2
11,9,0.2
11,12,0.2
11,13,1.1
11,16,0.5
11,18,0.1
11,21,1.5
11,22,0.2
11,25,0.2
11,26,0.6
11,29,1.6
11,30,0.4
11,33,1.7
11,34,0.1
12,1,0.5
12,4,0.4
12,5,1.7
12,8,0.1
12,9,0.6
12,12,0.1
12,13,0.1
12,16,0.4
12,17,0.1
12,18,0.2
12,21,1.2
12,22,0.1
12,25,0.3
12,26,1.4
12,29,0.9
12,33,1.4
13,1,0.6
13,4,0.1
13,5,0.7
13,8,0.2
13,9,0.7
13,12,0.4
13,13,1.1
13,16,0.1
13,21,0.6
13,25,0.5
13,26,1.4
13,29,1.4
13,33,0.9
13,34,0.1
14,1,1.0
14,4,0.2
14,5,0.3
14,8,0.8
14,9,1.5
14,12,0.1
14,13,0.6
14,16,0.9
14,21,0.4
14,22,0.3
14,25,0.4
14,26,0.7
14,29,1.6
14,30,0.2
14,33,1.3
14,34,0.1
15,1,1.0
15,4,0.1
15,5,0.5
15,8,0.4
15,9,0.9
15,12,0.4
15,13,0.4
15,16,0.4
15,18,0.1
15,21,1.2
15,22,0.1
15,25,0.2
15,26,0.2
15,29,0.5
15,30,0.1
15,33,1.0
16,1,0.6
16,5,1.2
16,8,0.5
16,12,0.1
16,13,0.9
16,16,0.3
16,17,0.1
16,18,0.4
16,21,0.6
16,22,0.4
16,25,0.2
16,26,0.7
16,29,0.5
16,33,0.2
17,1,0.3
17,5,1.1
17,8,0.4
17,12,0.1
17,13,1.4
17,16,0.1
17,18,0.2
17,21,1.4
17,22,0.3
17,29,0.1
17,30,0.1
17,33,0.4
17,34,0.1
18,1,0.1
18,5,0.7
18,8,0.1
18,12,0.1
18,13,0.6
18,16,0.3
18,18,0.4
18,21,0.7
18,22,0.1
18,29,0.7
18,30,0.1
18,33,0.4
19,5,0.5
19,9,0.2
19,12,0.1
19,13,0.9
19,18,0.3
19,22,0.4
19,25,0.1
19,29,0.3
19,30,0.1
19,33,0.3
20,5,0.2
20,12,0.1
20,13,0.1
20,16,0.1
20,18,0.1
20,21,0.8
20,22,0.3
20,26,0.2
20,29,0.2
20,33,0.2
21,4,0.5
21,8,0.2
21,12,0.1
21,13,0.1
21,18,0.2
21,21,0.2
21,25,0.5
21,26,0.1
21,29,0.9
21,30,0.1
22,18,0.3
22,25,0.2
22,29,0.5
