row,col,avg_count
0,0,0.3
0,1,0.8
0,2,3.3
0,3,4.5
0,4,22.1
0,5,202.5
0,6,2213.4
0,7,1195.5
0,8,1092.6
0,9,437.5
0,10,414.9
0,11,433.3
0,12,404.2
0,13,742.6
0,14,863.1
0,15,944.6
0,16,356.0
0,17,357.8
0,18,349.6
0,19,375.7
0,20,1046.1
0,21,822.4
0,22,643.4
0,23,403.3
0,24,428.2
0,25,421.7
0,26,425.4
0,27,1858.5
0,28,1194.7
0,29,1399.2
0,30,107.7
0,31,3.9
0,32,1.4
0,33,0.2
1,0,0.6
1,1,303.2
1,2,506.0
1,3,326.4
1,4,313.7
1,5,672.1
1,6,1230.9
1,7,2682.0
1,8,1202.7
1,9,605.3
1,10,723.5
1,11,993.0
1,12,734.4
1,13,1306.8
1,14,1835.5
1,15,1405.5
1,16,1057.7
1,17,769.4
1,18,1052.5
1,19,1249.9
1,20,1238.3
1,21,2189.1
1,22,792.0
1,23,1038.5
1,24,791.1
1,25,629.1
1,26,745.0
1,27,1388.7
1,28,2617.4
1,29,998.1
1,30,218.2
1,31,308.0
1,32,405.8
1,33,281.1
1,34,0.6
2,0,3.6
2,1,509.2
2,4,22.2
2,5,727.8
2,8,528.9
2,9,233.8
2,12,395.9
2,13,559.9
2,16,492.6
2,17,32.6
2,18,452.3
2,21,712.9
2,22,458.5
2,25,277.3
2,26,619.5
2,29,625.0
2,30,24.5
2,33,405.2
2,34,2.6
3,0,5.5
3,1,307.5
3,4,34.3
3,5,577.7
3,8,374.6
3,9,210.7
3,12,117.1
3,13,472.4
3,16,273.8
3,17,46.6
3,18,248.0
3,21,452.9
3,22,137.5
3,25,212.3
3,26,376.6
3,29,555.5
3,30,39.9
3,33,285.5
3,34,2.9
4,0,6.0
4,1,278.5
4,4,55.7
4,5,501.7
4,8,339.9
4,9,203.3
4,12,120.9
4,13,431.3
4,16,245.5
4,17,68.1
4,18,217.3
4,21,417.7
4,22,144.1
4,25,201.5
4,26,343.2
4,29,490.2
4,30,57.4
4,33,272.5
4,34,3.4
5,0,6.2
5,1,262.5
5,4,67.2
5,5,457.5
5,8,316.9
5,9,187.6
5,12,119.9
5,13,388.5
5,16,222.0
5,17,83.2
5,18,186.3
5,21,370.8
5,22,147.5
5,25,187.3
5,26,320.2
5,29,434.9
5,30,67.4
5,33,248.8
5,34,4.3
6,0,5.5
6,1,243.7
6,4,79.2
6,5,407.8
6,8,287.9
6,9,180.7
6,12,123.0
6,13,344.4
6,16,187.6
6,17,100.6
6,18,153.1
6,21,325.8
6,22,147.5
6,25,179.7
6,26,289.6
6,29,380.3
6,30,82.2
6,33,234.8
6,34,5.7
7,0,5.3
7,1,224.6
7,4,85.8
7,5,353.1
7,8,257.1
7,9,168.3
7,12,125.8
7,13,311.6
7,16,171.7
7,17,88.4
7,18,147.0
7,21,293.4
7,22,156.9
7,25,174.9
7,26,259.3
7,29,333.2
7,30,89.2
7,33,212.7
7,34,6.1
8,0,3.9
8,1,211.2
8,4,102.4
8,5,301.3
8,8,232.8
8,9,158.6
8,12,131.3
8,13,262.5
8,16,162.4
8,17,77.7
8,18,132.6
8,21,258.9
8,22,163.8
8,25,163.2
8,26,230.2
8,29,284.7
8,30,101.7
8,33,190.5
8,34,4.5
9,0,3.0
9,1,188.9
9,4,116.9
9,5,249.1
9,8,205.5
9,9,145.2
9,12,129.6
9,13,225.8
9,16,145.4
9,17,65.0
9,18,117.3
9,21,213.2
9,22,161.0
9,25,145.8
9,26,204.6
9,29,240.0
9,30,109.8
9,33,177.6
9,34,2.7
10,0,2.5
10,1,170.6
10,4,126.2
10,5,197.9
10,8,181.9
10,9,131.8
10,12,130.3
10,13,189.3
10,16,132.2
10,17,53.9
10,18,107.0
10,21,193.5
10,22,150.8
10,25,137.9
10,26,179.2
10,29,191.2
10,30,116.5
10,33,151.3
10,34,2.2
11,0,1.5
11,1,145.5
11,4,131.8
11,5,155.7
11,8,153.6
11,9,121.8
11,12,127.6
11,13,150.2
11,16,120.3
11,17,41.8
11,18,91.9
11,21,169.6
11,22,138.2
11,25,128.2
11,26,153.1
11,29,155.6
11,30,117.9
11,33,139.7
11,34,1.6
12,0,1.5
12,1,127.0
12,4,122.8
12,5,127.9
12,8,121.8
12,9,115.0
12,12,119.4
12,13,116.8
12,16,107.7
12,17,31.2
12,18,83.1
12,21,153.1
12,22,120.4
12,25,123.9
12,26,119.0
12,29,122.5
12,30,115.6
12,33,122.6
12,34,1.4
13,0,1.1
13,1,106.1
13,4,101.2
13,5,111.4
13,8,109.2
13,9,95.4
13,12,102.7
13,13,101.3
13,16,97.1
13,17,16.8
13,18,74.1
13,21,127.4
13,22,100.2
13,25,108.0
