tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6
0,0.1136,,,,,
1,0.2514,,,,,
2,0.5418,,,,,
3,0.8096,0.0969,,,,
4,0.6944,0.861,,,,
5,1.0197,1.2111,,,,
6,0.8382,0.8325,,,,
7,1.0408,1.0531,0.0007,,,
8,1.1717,1.2117,0.6643,,,
9,1.0965,0.9455,1.2163,,,
10,1.1514,0.519,1.2163,0.0,,
11,1.1393,0.8453,0.9008,1.0792,,
12,0.9841,1.0542,0.4049,1.0792,,
13,1.0313,0.9609,0.5916,1.0792,,
14,0.9783,1.0466,0.6348,1.0692,,
15,0.9203,0.9798,0.4316,0.6198,,
16,0.9509,0.8515,0.458,0.9704,,
17,0.9695,1.0708,0.9837,1.0792,,
18,0.9327,1.062,0.8054,1.0792,,
19,1.0553,0.9202,0.9825,0.5396,,
20,1.0201,0.8969,0.9796,0.624,,
21,1.0531,0.9308,0.8328,0.656,0.0251,
22,1.0789,1.0865,0.9761,1.241,1.1906,
23,0.9823,1.0874,0.8524,0.9291,1.1907,0.0002
24,1.0181,1.087,0.9134,1.2087,1.1907,1.2943
25,0.9509,0.9592,0.9661,1.1495,0.5955,1.2943
26,0.9524,0.9963,0.8713,0.9393,1.085,1.2943
27,0.6939,1.0343,0.8692,1.2373,1.004,1.2943
28,1.0101,1.0368,0.9722,0.9955,0.8652,1.2943
29,1.0044,0.9995,0.9073,1.1621,0.7955,0.6472
30,0.6695,0.9128,0.8918,0.9574,0.8532,1.2382
31,0.783,0.9116,0.864,1.0657,0.9665,0.6436
32,0.851,0.7246,0.6482,1.0443,1.0391,0.7424
33,0.704,0.9567,0.8915,0.8443,1.0136,1.0879
34,0.6989,1.0308,0.7432,1.1856,0.997,1.2448
35,0.7581,0.7467,0.8654,1.1554,0.9866,1.2448
36,0.9461,0.811,0.9886,1.1007,0.8689,1.2435
37,0.9609,0.9765,0.9474,1.0756,0.9358,1.1561
38,0.9,1.1203,0.9384,0.907,1.0435,0.8519
39,1.0201,0.9227,0.8405,1.0691,1.0134,1.1445
40,1.0671,1.154,0.8187,1.0259,1.082,0.9416
41,1.1866,1.1805,1.0028,0.695,1.0457,1.0921
42,1.0449,1.1805,1.0528,0.9942,1.1226,1.1689
43,0.9542,1.1805,0.9219,0.9536,1.0997,0.7818
44,1.0172,1.1382,0.9831,0.8918,0.9736,0.8986
45,1.0368,1.1353,0.8633,0.702,1.0927,0.7741
46,0.9494,1.0274,0.7796,0.7864,1.1016,0.9644
47,1.1046,0.7512,0.7748,0.8829,0.537,0.9967
48,1.1529,0.7233,0.8239,0.9771,0.7719,0.9459
49,1.1529,0.645,1.0185,1.0934,1.0578,0.95
50,1.1529,0.4391,0.9181,1.1461,0.9781,0.9002
51,1.1529,0.6807,0.9339,0.9316,0.864,1.1859
52,1.1661,0.9336,1.0997,1.2149,1.0266,0.9027
53,1.1716,0.9847,0.9273,1.1699,0.8054,0.6997
54,0.5835,0.7679,1.0606,1.1441,0.9255,0.9188
55,0.9378,0.9517,0.9621,0.9781,0.9783,1.1984
56,0.7937,0.8994,0.7162,0.9904,0.9243,0.8988
57,0.5774,0.5827,0.7663,1.016,0.6695,0.944
58,0.9459,1.0604,0.854,0.9615,1.0247,1.1874
59,0.9424,1.0269,0.9356,0.983,1.0503,0.9898
60,1.0973,0.9507,0.7446,1.1031,0.8558,1.2035
61,1.0866,0.868,0.9635,0.9699,1.0272,0.7347
62,0.8638,0.8939,1.0228,1.1425,0.9873,1.1712
63,0.8552,0.8769,0.9268,0.9973,0.9893,1.1295
64,0.9458,0.9689,1.1638,0.9294,0.8482,0.9186
65,0.9036,0.9701,1.0759,1.1635,0.8742,0.7518
66,1.0724,0.9503,0.931,1.187,0.8445,1.0942
67,1.0526,0.9674,1.1967,1.187,0.9687,0.9635
68,1.0558,0.7375,1.1967,1.1796,0.882,0.9994
69,1.0647,0.9046,1.0219,1.1854,0.9918,1.0647
70,1.079,1.0127,1.1863,1.187,0.7375,0.8538
71,1.0553,1.0239,1.0025,1.1619,0.5813,0.9005
72,0.9385,0.924,0.8495,1.1858,0.4931,0.7998
73,0.8725,1.0491,1.0427,1.152,1.1723,0.7864
74,0.9528,0.6421,0.9992,0.8319,1.1533,0.645
75,0.6899,1.1096,1.0215,1.2803,1.1533,0.6774
76,0.7311,0.9171,1.0673,1.129,0.7689,0.6707
77,0.6474,1.1326,1.1042,0.9205,1.1474,0.73
78,0.7306,1.1317,1.0721,1.2329,1.1287,0.7576
79,0.8156,0.8507,1.0343,1.225,0.6872,0.6817
80,0.9925,0.8357,1.0908,1.225,0.8418,0.6237
