tick,agent_id,picks,distance,idle_ticks,slow_ticks,walk_ticks
600,1,7.1,281.8,75.2,113.1,387.2
600,2,7.4,281.7,93.9,82.3,359.6
600,3,6.4,249.7,127.6,99.3,350.0
600,4,7.1,254.8,134.3,93.5,330.0
600,5,5.9,255.5,169.0,67.9,313.8
600,6,6.2,220.0,224.3,57.3,252.1
600,7,5.2,204.9,212.3,87.2,283.7
600,8,3.9,177.2,305.9,61.2,217.5
1200,1,15.1,607.8,133.2,188.6,770.8
1200,2,15.4,559.4,160.8,176.8,734.2
1200,3,13.7,517.7,196.3,210.9,730.0
1200,4,14.0,508.9,225.5,209.7,697.8
1200,5,13.0,519.5,315.5,132.4,627.0
1200,6,13.3,480.4,379.1,122.6,558.3
1200,7,10.6,427.1,425.5,154.6,564.5
1200,8,8.7,355.3,613.0,108.5,416.0
1800,1,22.0,877.5,193.4,310.7,1169.8
1800,2,22.5,847.8,237.5,273.8,1117.6
1800,3,21.2,797.6,293.9,301.6,1087.9
1800,4,20.8,782.7,313.2,313.5,1073.1
1800,5,19.6,784.2,443.5,220.5,968.3
1800,6,19.6,731.3,515.8,221.9,894.5
1800,7,16.5,640.4,606.3,248.3,866.1
1800,8,13.8,567.9,892.3,152.4,637.4
2400,1,29.6,1168.0,257.7,415.9,1553.7
2400,2,30.2,1123.1,304.9,372.9,1495.0
2400,3,28.8,1088.6,371.6,385.8,1455.4
2400,4,27.7,1037.5,407.4,424.3,1441.7
2400,5,26.2,1037.2,560.9,309.9,1316.4
2400,6,26.2,1000.3,696.4,272.3,1185.6
2400,7,22.4,866.0,783.5,330.3,1170.5
2400,8,18.7,779.7,1147.9,213.7,880.9
3000,1,36.8,1462.7,307.1,532.3,1960.7
3000,2,37.5,1390.2,382.4,476.3,1872.1
3000,3,36.3,1361.6,444.3,485.7,1829.9
3000,4,35.2,1310.1,529.4,496.4,1769.9
3000,5,33.2,1291.2,681.1,400.3,1659.6
3000,6,32.4,1246.9,850.6,358.4,1502.7
3000,7,28.8,1092.3,985.8,392.5,1441.1
3000,8,23.7,991.3,1423.5,259.0,1105.5
3600,1,44.2,1743.5,361.4,643.3,2360.6
