tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
0,0.0762,,,,,,,
1,0.8828,,,,,,,
2,0.4158,,,,,,,
3,0.9077,,,,,,,
4,0.9186,,,,,,,
5,0.8322,0.084,,,,,,
6,0.8984,0.5423,,,,,,
7,0.9693,0.987,,,,,,
8,1.0052,0.757,0.1382,,,,,
9,1.0833,1.1328,1.104,,,,,
10,1.0722,1.119,1.104,,,,,
11,1.0468,1.1363,1.104,,,,,
12,1.0718,1.0767,0.5816,,,,,
13,0.8581,1.0725,0.9435,,,,,
14,0.8416,0.8797,0.5682,,,,,
15,1.1838,0.9905,0.8884,,,,,
16,1.1215,0.9788,0.9959,,,,,
17,0.9222,1.0416,0.9507,,,,,
18,0.7952,0.9691,1.0588,0.0235,,,,
19,0.8825,1.1176,0.6805,0.7117,,,,
20,1.0117,1.0991,0.8174,0.5854,,,,
21,0.9552,1.0708,1.0332,1.072,,,,
22,0.8753,0.9288,1.0889,0.7875,0.0293,,,
23,1.1736,0.9409,1.0839,0.9161,1.0009,0.0001,,
24,1.1493,0.943,0.8885,0.9804,0.953,0.6088,,
25,0.9291,0.9615,0.9523,1.07,0.7746,1.256,,
26,1.1894,1.0873,0.9486,1.1587,1.0655,1.1861,,
27,1.1935,1.1056,0.8024,1.1681,1.0824,0.7434,,
28,1.0266,1.0895,1.1156,1.0548,1.0049,0.9329,,
29,1.1641,0.9094,1.1275,0.8882,0.8054,0.7669,0.0006,
30,1.0936,1.1491,1.1758,0.5397,0.8722,0.6505,1.0839,
31,1.1642,1.1333,1.1545,0.9774,0.9369,0.6643,1.0821,
32,0.8176,1.1325,1.1153,0.7638,1.1011,0.9781,0.5409,
33,0.4555,1.0333,1.1689,1.0929,0.9725,0.9402,0.7382,
34,0.8167,0.8661,1.1945,1.0495,1.0829,1.0893,1.1528,0.0001
35,0.9874,1.0399,1.1566,0.8346,0.9153,1.0902,1.1528,1.2285
36,1.0222,1.023,1.1795,0.9739,1.1275,1.257,1.1528,1.2285
37,0.8063,0.7483,1.0384,0.8637,1.0761,1.303,0.9236,1.2285
38,0.6683,0.9138,0.941,0.8923,0.9559,0.8726,0.8864,1.2285
39,0.4641,1.0521,1.0104,1.0364,1.0629,0.8856,1.0551,1.2285
40,0.3868,0.9817,0.8387,1.0166,1.0826,1.2553,0.9998,1.2285
41,0.7151,0.9484,1.1229,0.7941,0.9563,1.1893,0.9091,0.9954
42,0.6282,0.8412,1.1829,0.8016,1.0422,0.6179,0.8608,0.6609
43,0.9621,0.9197,1.0885,0.6613,1.0124,0.9238,0.8463,1.2607
44,1.078,0.7978,0.8515,0.8159,1.0065,1.0854,1.1564,1.3375
45,1.0612,0.9485,1.1625,0.72,0.9104,1.0267,0.6992,1.2827
