tick,arrivals,completions
0,0.2,0.0
1,0.2,0.0
2,0.3,0.0
3,0.0,0.0
4,0.1,0.0
5,0.2,0.0
6,0.2,0.0
7,0.1,0.0
8,0.3,0.0
9,0.1,0.0
10,0.0,0.0
11,0.1,0.0
12,0.0,0.0
13,0.1,0.0
14,0.4,0.0
15,0.1,0.0
16,0.3,0.0
17,0.1,0.0
18,0.1,0.1
19,0.5,0.0
20,0.2,0.1
21,0.2,0.0
22,0.1,0.0
23,0.3,0.0
24,0.2,0.0
25,0.1,0.0
26,0.2,0.1
27,0.1,0.0
28,0.1,0.1
29,0.3,0.0
30,0.2,0.2
31,0.0,0.2
32,0.1,0.0
33,0.3,0.3
34,0.2,0.4
35,0.0,0.3
36,0.1,0.1
37,0.1,0.0
38,0.1,0.0
39,0.2,0.2
40,0.3,0.2
41,0.2,0.1
42,0.1,0.0
43,0.2,0.1
44,0.1,0.0
45,0.4,0.1
46,0.4,0.3
47,0.0,0.1
48,0.3,0.1
49,0.3,0.6
50,0.2,0.1
51,0.0,0.2
52,0.4,0.1
53,0.2,0.2
54,0.3,0.0
55,0.1,0.2
56,0.1,0.1
57,0.2,0.4
58,0.1,0.3
59,0.4,0.2
60,0.3,0.2
61,0.2,0.1
62,0.1,0.0
63,0.1,0.2
64,0.3,0.0
65,0.2,0.1
66,0.0,0.2
67,0.2,0.2
68,0.1,0.0
69,0.1,0.1
70,0.3,0.2
71,0.1,0.4
72,0.1,0.0
73,0.2,0.1
74,0.0,0.2
75,0.1,0.1
76,0.3,0.3
77,0.1,0.0
78,0.0,0.1
79,0.4,0.0
80,0.5,0.0
81,0.3,0.0
82,0.1,0.1
83,0.1,0.2
84,0.0,0.1
85,0.3,0.1
86,0.4,0.0
87,0.1,0.0
88,0.1,0.6
89,0.2,0.1
90,0.0,0.1
91,0.1,0.2
92,0.0,0.1
93,0.0,0.0
94,0.5,0.0
95,0.1,0.1
96,0.1,0.3
97,0.0,0.0
98,0.0,0.0
99,0.3,0.0
100,0.1,0.1
101,0.1,0.3
102,0.0,0.4
103,0.2,0.1
104,0.3,0.0
105,0.5,0.2
106,0.1,0.5
107,0.1,0.1
108,0.3,0.2
109,0.2,0.2
110,0.1,0.0
111,0.1,0.2
112,0.1,0.0
113,0.0,0.2
114,0.2,0.3
115,0.4,0.1
116,0.1,0.1
117,0.0,0.1
118,0.0,0.3
119,0.1,0.4
120,0.4,0.1
121,0.1,0.0
122,0.1,0.0
123,0.0,0.1
124,0.0,0.3
125,0.4,0.2
126,0.1,0.2
127,0.1,0.1
128,0.1,0.3
129,0.0,0.1
130,0.5,0.2
131,0.0,0.1
132,0.1,0.2
133,0.1,0.2
134,0.1,0.0
135,0.2,0.1
136,0.0,0.2
137,0.1,0.0
138,0.1,0.0
139,0.2,0.1
140,0.1,0.0
141,0.1,0.1
142,0.1,0.2
143,0.1,0.2
144,0.1,0.0
145,0.2,0.2
146,0.2,0.0
147,0.2,0.0
148,0.1,0.2
149,0.1,0.4
150,0.2,0.1
151,0.1,0.1
152,0.1,0.1
153,0.2,0.1
154,0.2,0.1
155,0.1,0.1
156,0.1,0.1
157,0.0,0.2
158,0.4,0.3
159,0.1,0.1
160,0.1,0.4
161,0.3,0.2
162,0.1,0.1
163,0.0,0.1
164,0.2,0.0
165,0.2,0.0
166,0.1,0.1
167,0.1,0.2
168,0.0,0.0
169,0.3,0.2
170,0.2,0.1
171,0.0,0.2
172,0.0,0.1
173,0.1,0.1
174,0.1,0.1
175,0.2,0.2
176,0.1,0.4
177,0.2,0.2
178,0.2,0.3
179,0.1,0.1
180,0.0,0.2
181,0.4,0.0
182,0.2,0.2
183,0.2,0.4
184,0.4,0.0
185,0.1,0.0
186,0.0,0.2
187,0.2,0.0
188,0.3,0.1
189,0.4,0.4
190,0.1,0.2
191,0.2,0.0
192,0.0,0.0
193,0.2,0.1
194,0.1,0.1
195,0.1,0.0
196,0.2,0.2
197,0.1,0.1
198,0.0,0.1
199,0.3,0.1
200,0.4,0.3
201,0.4,0.3
202,0.1,0.1
203,0.0,0.0
204,0.0,0.4
205,0.3,0.1
206,0.2,0.1
207,0.1,0.0
208,0.2,0.1
209,0.2,0.2
210,0.1,0.2
211,0.2,0.2
212,0.0,0.0
213,0.1,0.2
214,0.1,0.2
215,0.1,0.2
216,0.2,0.0
217,0.0,0.1
218,0.1,0.2
219,0.1,0.2
220,0.0,0.1
221,0.1,0.1
222,0.1,0.1
223,0.1,0.0
224,0.3,0.3
225,0.0,0.0
226,0.1,0.5
227,0.3,0.1
228,0.2,0.2
229,0.1,0.0
230,0.2,0.1
231,0.1,0.1
232,0.2,0.1
233,0.1,0.0
234,0.2,0.2
235,0.1,0.2
236,0.0,0.0
237,0.2,0.2
238,0.0,0.2
239,0.1,0.3
240,0.0,0.1
241,0.3,0.1
242,0.1,0.2
243,0.2,0.1
244,0.1,0.2
245,0.3,0.2
246,0.2,0.2
247,0.1,0.2
248,0.2,0.1
249,0.0,0.1
250,0.3,0.0
251,0.3,0.1
252,0.2,0.1
253,0.1,0.0
254,0.0,0.1
255,0.3,0.2
256,0.2,0.1
257,0.1,0.2
258,0.3,0.1
259,0.1,0.0
260,0.2,0.0
261,0.0,0.2
262,0.0,0.2
263,0.1,0.1
264,0.1,0.1
265,0.1,0.4
266,0.3,0.3
267,0.1,0.1
268,0.2,0.0
269,0.1,0.0
270,0.1,0.1
271,0.2,0.0
272,0.1,0.0
273,0.0,0.2
274,0.1,0.3
275,0.1,0.0
276,0.0,0.1
277,0.0,0.0
278,0.1,0.0
279,0.3,0.0
280,0.2,0.3
281,0.0,0.0
282,0.0,0.4
283,0.1,0.0
284,0.1,0.1
285,0.1,0.3
286,0.2,0.1
287,0.0,0.1
288,0.1,0.0
289,0.2,0.1
290,0.3,0.0
291,0.0,0.3
292,0.0,0.1
293,0.2,0.3
294,0.1,0.3
295,0.0,0.2
296,0.3,0.1
297,0.1,0.1
298,0.2,0.0
299,0.0,0.0
300,0.3,0.0
301,0.5,0.1
302,0.2,0.0
303,0.1,0.3
304,0.1,0.1
305,0.1,0.1
306,0.2,0.2
307,0.1,0.0
308,0.1,0.1
309,0.1,0.4
310,0.1,0.1
311,0.3,0.2
312,0.1,0.0
313,0.2,0.2
314,0.0,0.4
315,0.3,0.1
316,0.4,0.0
317,0.1,0.0
318,0.2,0.2
319,0.0,0.3
320,0.2,0.0
321,0.3,0.1
322,0.2,0.0
323,0.2,0.1
324,0.2,0.2
325,0.2,0.2
326,0.2,0.5
327,0.0,0.4
328,0.0,0.1
329,0.3,0.1
330,0.0,0.3
331,0.3,0.2
332,0.0,0.1
333,0.2,0.3
334,0.0,0.1
335,0.2,0.1
336,0.0,0.1
337,0.1,0.3
338,0.3,0.1
339,0.3,0.3
340,0.1,0.0
341,0.2,0.1
342,0.1,0.2
343,0.0,0.2
344,0.0,0.3
345,0.2,0.0
346,0.2,0.0
347,0.1,0.2
348,0.2,0.1
349,0.2,0.0
350,0.2,0.2
351,0.2,0.0
352,0.3,0.1
353,0.2,0.0
354,0.1,0.1
355,0.3,0.1
356,0.0,0.0
357,0.1,0.0
358,0.1,0.3
359,0.3,0.1
360,0.0,0.2
361,0.0,0.2
362,0.0,0.2
363,0.1,0.2
364,0.1,0.0
365,0.0,0.2
366,0.1,0.1
367,0.1,0.3
368,0.1,0.3
369,0.2,0.4
370,0.2,0.2
371,0.0,0.3
372,0.2,0.0
373,0.2,0.0
374,0.2,0.0
375,0.3,0.0
376,0.0,0.0
377,0.1,0.1
378,0.3,0.2
379,0.0,0.0
380,0.0,0.0
381,0.0,0.5
382,0.1,0.0
383,0.0,0.0
384,0.0,0.0
385,0.2,0.0
386,0.1,0.4
387,0.1,0.4
388,0.3,0.1
389,0.2,0.1
390,0.1,0.1
391,0.0,0.0
392,0.0,0.3
393,0.1,0.3
394,0.4,0.3
395,0.2,0.3
396,0.1,0.2
397,0.1,0.0
398,0.1,0.2
399,0.2,0.2
400,0.2,0.2
401,0.1,0.0
402,0.3,0.0
403,0.2,0.2
404,0.0,0.0
405,0.0,0.0
406,0.1,0.1
407,0.2,0.0
408,0.2,0.3
409,0.1,0.1
410,0.0,0.0
411,0.1,0.1
412,0.0,0.2
413,0.1,0.3
414,0.1,0.1
415,0.1,0.1
416,0.1,0.2
417,0.2,0.1
418,0.1,0.1
419,0.1,0.0
420,0.0,0.2
421,0.3,0.2
422,0.3,0.3
423,0.1,0.1
424,0.0,0.2
425,0.1,0.2
426,0.1,0.2
427,0.1,0.0
428,0.2,0.1
429,0.1,0.1
430,0.0,0.0
431,0.1,0.1
432,0.1,0.2
433,0.1,0.1
434,0.3,0.1
435,0.2,0.1
436,0.0,0.0
437,0.1,0.1
438,0.1,0.1
439,0.1,0.2
440,0.5,0.0
441,0.0,0.3
442,0.1,0.2
443,0.1,0.0
444,0.1,0.0
445,0.3,0.0
446,0.1,0.2
447,0.0,0.0
448,0.2,0.3
449,0.1,0.3
450,0.2,0.1
451,0.0,0.1
452,0.2,0.1
453,0.1,0.0
454,0.2,0.2
455,0.2,0.0
456,0.4,0.1
457,0.3,0.1
458,0.0,0.1
459,0.2,0.2
460,0.1,0.0
461,0.0,0.4
462,0.2,0.0
463,0.0,0.1
464,0.0,0.1
465,0.2,0.1
466,0.2,0.0
467,0.1,0.2
468,0.0,0.2
469,0.1,0.1
470,0.1,0.1
471,0.2,0.0
472,0.2,0.2
473,0.0,0.1
474,0.1,0.4
475,0.2,0.1
476,0.3,0.4
477,0.1,0.2
478,0.0,0.0
479,0.3,0.1
480,0.1,0.0
481,0.1,0.2
482,0.2,0.1
483,0.2,0.2
484,0.0,0.3
485,0.2,0.3
486,0.2,0.0
487,0.1,0.1
488,0.0,0.2
489,0.1,0.3
490,0.3,0.1
491,0.2,0.0
492,0.0,0.3
493,0.0,0.3
494,0.2,0.2
495,0.1,0.2
496,0.0,0.0
497,0.1,0.2
498,0.2,0.0
499,0.4,0.1
500,0.1,0.2
501,0.1,0.1
502,0.4,0.1
503,0.1,0.1
504,0.1,0.1
505,0.2,0.0
506,0.3,0.1
507,0.1,0.0
508,0.2,0.1
509,0.0,0.1
510,0.1,0.1
511,0.1,0.0
512,0.0,0.2
513,0.2,0.1
514,0.2,0.1
515,0.1,0.2
516,0.2,0.2
517,0.0,0.1
518,0.2,0.2
519,0.2,0.0
520,0.5,0.0
521,0.2,0.1
522,0.3,0.2
523,0.2,0.1
524,0.2,0.2
525,0.1,0.3
526,0.1,0.1
527,0.2,0.2
528,0.2,0.2
529,0.3,0.0
530,0.1,0.4
531,0.1,0.4
532,0.3,0.3
533,0.1,0.2
534,0.4,0.2
535,0.1,0.0
536,0.1,0.0
537,0.1,0.0
538,0.1,0.2
539,0.1,0.2
540,0.1,0.5
541,0.1,0.1
542,0.2,0.4
543,0.0,0.0
544,0.1,0.1
545,0.1,0.0
546,0.0,0.1
547,0.0,0.1
548,0.1,0.2
549,0.3,0.1
550,0.0,0.3
551,0.2,0.1
552,0.0,0.1
553,0.1,0.0
554,0.0,0.2
555,0.3,0.1
556,0.0,0.2
557,0.3,0.1
558,0.0,0.1
559,0.2,0.2
560,0.1,0.0
561,0.2,0.0
562,0.2,0.3
563,0.0,0.1
564,0.2,0.3
565,0.1,0.0
566,0.2,0.2
567,0.0,0.2
568,0.3,0.1
569,0.1,0.1
570,0.3,0.2
571,0.2,0.1
572,0.2,0.0
573,0.2,0.0
574,0.1,0.1
575,0.1,0.0
576,0.1,0.1
577,0.1,0.1
578,0.1,0.1
579,0.1,0.3
580,0.1,0.0
581,0.3,0.0
582,0.0,0.0
583,0.4,0.4
584,0.1,0.2
585,0.1,0.4
586,0.1,0.1
587,0.4,0.2
588,0.1,0.1
589,0.3,0.0
590,0.0,0.2
591,0.3,0.1
592,0.3,0.2
593,0.2,0.2
594,0.1,0.1
595,0.1,0.1
596,0.1,0.2
597,0.2,0.4
598,0.0,0.1
599,0.2,0.3
600,0.3,0.2
601,0.2,0.0
602,0.1,0.0
603,0.0,0.0
604,0.1,0.2
605,0.1,0.3
606,0.2,0.2
607,0.1,0.0
608,0.1,0.1
609,0.1,0.1
610,0.0,0.2
611,0.2,0.1
612,0.0,0.2
613,0.2,0.1
614,0.0,0.2
615,0.0,0.2
616,0.4,0.1
617,0.2,0.2
618,0.2,0.4
619,0.1,0.0
620,0.2,0.1
621,0.2,0.1
622,0.3,0.0
623,0.1,0.1
624,0.3,0.1
625,0.2,0.0
626,0.2,0.2
627,0.3,0.1
628,0.1,0.2
629,0.1,0.3
630,0.1,0.0
631,0.1,0.2
632,0.0,0.0
633,0.1,0.1
634,0.3,0.2
635,0.0,0.1
636,0.1,0.2
637,0.2,0.0
638,0.1,0.2
639,0.2,0.3
640,0.0,0.2
641,0.0,0.2
642,0.1,0.1
643,0.2,0.1
644,0.2,0.1
645,0.1,0.1
646,0.2,0.1
647,0.4,0.4
648,0.5,0.1
649,0.2,0.3
650,0.2,0.0
651,0.2,0.3
652,0.1,0.1
653,0.2,0.1
654,0.1,0.2
655,0.1,0.2
656,0.2,0.2
657,0.1,0.0
658,0.1,0.1
659,0.1,0.3
660,0.4,0.0
661,0.2,0.2
662,0.2,0.2
663,0.0,0.1
664,0.2,0.0
665,0.3,0.4
666,0.1,0.2
667,0.0,0.2
668,0.4,0.1
669,0.2,0.1
670,0.1,0.0
671,0.3,0.0
672,0.4,0.0
673,0.1,0.2
674,0.2,0.0
675,0.1,0.1
676,0.2,0.2
