tick,agent_id,picks,distance,idle_ticks,blocked_events,fatigue
600,1,11.1,470.6,58.5,7.5,0.0071
600,2,11.2,469.4,70.5,3.7,0.0047
600,3,10.8,471.0,67.1,6.9,0.0067
600,4,10.5,469.3,69.8,5.6,0.01
1200,1,23.3,977.4,86.6,9.6,0.0119
1200,2,22.9,972.6,100.4,7.4,0.0077
1200,3,21.8,986.3,90.2,10.1,0.01
1200,4,22.1,982.9,92.9,8.0,0.0161
1800,1,35.3,1482.5,112.4,14.0,0.0182
1800,2,35.0,1481.2,124.0,11.1,0.0133
1800,3,33.5,1494.0,118.4,13.6,0.0175
1800,4,34.3,1490.9,115.7,11.5,0.0256
2400,1,47.4,1990.1,138.4,16.1,0.0199
2400,2,46.4,1996.1,143.5,15.0,0.0182
2400,3,45.5,2005.3,142.0,16.8,0.018
2400,4,46.1,1999.8,138.3,15.5,0.0287
3000,1,60.3,2504.4,151.4,19.7,0.0272
3000,2,58.4,2514.5,155.5,19.2,0.0228
3000,3,57.6,2524.7,156.5,19.7,0.0232
3000,4,58.3,2518.5,152.2,18.3,0.0373
3600,1,72.7,3007.9,164.2,30.5,0.0339
3600,2,70.9,3022.2,168.0,28.9,0.0279
3600,3,69.8,3044.4,169.8,22.9,0.0287
3600,4,70.3,3023.2,164.6,28.9,0.0447
4200,1,84.8,3523.3,176.4,34.3,0.0403
4200,2,82.4,3539.1,179.8,33.8,0.0344
4200,3,82.1,3559.8,181.7,27.6,0.035
4200,4,82.7,3542.3,177.1,30.6,0.0524
4800,1,97.5,4031.8,188.8,39.8,0.0458
4800,2,94.4,4053.8,191.4,39.4,0.0427
4800,3,94.0,4079.2,193.6,31.5,0.0435
4800,4,94.3,4061.9,188.7,33.2,0.0609
5400,1,109.4,4546.1,200.7,44.1,0.0509
5400,2,106.3,4570.8,203.6,43.0,0.0516
5400,3,105.8,4599.8,205.4,34.6,0.0526
5400,4,105.7,4580.8,199.6,37.3,0.0702
6000,1,121.7,5063.7,213.0,46.0,0.0572
6000,2,118.1,5084.4,215.2,48.3,0.0608
6000,3,117.8,5116.4,217.4,37.7,0.0608
6000,4,117.1,5090.7,211.7,42.7,0.0781
6600,1,133.8,5575.5,225.2,50.4,0.0639
6600,2,130.3,5599.5,227.4,52.2,0.07
6600,3,129.4,5630.5,229.0,42.4,0.0702
6600,4,129.0,5605.9,223.1,46.3,0.0871
7200,1,145.7,6086.4,237.2,54.6,0.0713
7200,2,142.4,6112.4,239.7,56.2,0.0792
7200,3,141.4,6144.1,241.0,45.9,0.0789
7200,4,141.0,6118.9,235.2,48.9,0.0977
7800,1,157.7,6599.2,249.2,57.8,0.0796
7800,2,154.8,6621.5,252.2,60.3,0.088
7800,3,152.9,6656.8,252.7,50.8,0.0882
7800,4,152.7,6628.6,247.1,53.0,0.1075
8400,1,168.9,7112.6,260.6,61.8,0.0888
8400,2,166.9,7132.1,264.2,64.5,0.0965
8400,3,165.1,7171.0,264.7,53.7,0.0965
8400,4,163.5,7141.2,258.0,57.6,0.1173
9000,1,180.9,7622.7,272.2,66.1,0.097
9000,2,179.1,7639.8,276.2,69.1,0.1047
9000,3,176.7,7679.7,276.5,59.2,0.1043
9000,4,175.3,7650.6,269.6,62.0,0.1261
9600,1,193.0,8129.4,288.8,69.9,0.1001
9600,2,190.7,8152.7,291.3,72.2,0.1083
9600,3,188.8,8188.0,292.4,62.0,0.1069
9600,4,187.0,8147.8,288.7,66.8,0.1286
10200,1,204.5,8622.2,319.4,74.3,0.1047
10200,2,202.2,8645.2,315.7,79.5,0.1123
10200,3,200.5,8680.2,321.7,67.5,0.1093
10200,4,197.8,8648.7,310.4,71.9,0.1336
10800,1,216.0,9113.9,353.9,76.8,0.1044
10800,2,213.1,9126.6,359.2,83.5,0.1108
10800,3,211.8,9172.6,355.3,71.6,0.1091
10800,4,209.5,9126.5,354.3,76.0,0.13
11400,1,226.8,9589.6,406.9,80.1,0.1083
11400,2,224.6,9591.9,418.8,87.5,0.1134
11400,3,222.6,9644.1,412.9,75.4,0.1119
11400,4,220.4,9595.7,412.9,79.3,0.1281
12000,1,238.7,10061.8,456.7,83.6,0.1098
12000,2,236.3,10075.3,458.1,90.8,0.1156
12000,3,233.3,10126.2,458.3,78.8,0.1133
12000,4,232.1,10078.3,450.6,83.1,0.1307
12600,1,249.9,10550.9,490.9,87.1,0.1069
12600,2,247.5,10565.4,496.7,93.1,0.1066
12600,3,244.5,10616.4,496.1,82.8,0.1062
12600,4,243.1,10569.0,485.2,86.4,0.1239
13200,1,260.9,11034.1,533.2,90.4,0.1043
13200,2,258.8,11051.8,534.2,96.6,0.1051
13200,3,256.0,11102.9,539.9,84.9,0.1027
13200,4,254.6,11042.9,533.5,91.0,0.1194
13800,1,271.3,11492.0,604.4,93.9,0.083
13800,2,269.4,11523.6,594.0,99.3,0.0844
13800,3,267.2,11568.5,603.3,88.0,0.0875
13800,4,266.0,11502.1,600.1,94.6,0.1018
14400,1,282.7,11942.5,682.3,97.4,0.0826
