row,col,avg_count
0,1,0.3
0,2,0.3
0,3,0.5
0,4,2.7
0,5,7.6
0,6,6.1
0,7,6.1
0,8,12.7
0,9,13.7
0,10,16.2
0,11,14.4
0,12,26.4
0,13,28.6
0,14,28.1
0,15,32.3
0,16,68.7
0,18,82.3
0,19,35.5
0,20,32.3
0,21,29.9
0,22,22.2
0,23,18.7
0,24,13.9
0,25,12.5
0,26,12.7
0,27,6.6
0,28,7.1
0,29,5.4
0,30,2.9
0,31,0.6
0,32,1.4
0,33,0.4
1,1,0.3
1,4,0.2
1,5,0.2
1,8,0.3
1,9,0.5
1,12,0.2
1,13,0.3
1,16,0.6
1,18,0.6
1,22,0.9
1,25,0.4
1,26,0.3
1,29,0.2
1,30,0.8
1,33,0.2
2,1,0.7
2,4,2.8
2,5,1.2
2,8,0.4
2,9,0.3
2,12,0.7
2,13,0.3
2,16,0.9
2,18,0.5
2,21,1.6
2,22,1.1
2,25,0.4
2,26,2.6
2,29,0.6
2,30,3.0
2,33,0.7
3,1,0.5
3,4,0.5
3,5,0.9
3,8,1.5
3,9,0.9
3,12,0.9
3,13,0.4
3,16,1.1
3,18,1.2
3,21,0.3
3,22,0.5
3,25,0.2
3,26,0.7
3,29,0.4
3,30,0.8
3,33,0.3
4,1,0.6
4,4,0.4
4,5,1.0
4,8,1.5
4,9,0.6
4,12,1.6
4,13,1.7
4,16,0.9
4,18,0.7
4,21,0.6
4,22,1.0
4,25,0.5
4,26,0.3
4,29,0.8
4,30,0.3
4,33,0.7
5,1,0.3
5,4,0.5
5,5,1.3
5,8,1.9
5,9,4.6
5,12,2.7
5,13,0.2
5,16,0.5
5,18,0.5
5,21,0.2
5,22,1.3
5,25,1.0
5,26,0.3
5,29,1.5
5,30,0.6
5,33,0.1
6,1,0.2
6,4,0.7
6,5,0.3
6,8,1.0
6,9,0.2
6,12,0.3
6,16,0.4
6,18,0.9
6,21,0.3
6,22,1.5
6,25,0.5
6,26,0.1
6,29,0.1
6,30,0.4
6,33,0.1
7,4,0.9
7,5,0.3
7,8,0.9
7,9,0.6
7,12,1.2
7,13,0.2
7,16,0.5
7,18,0.8
7,21,0.2
7,22,0.7
7,25,0.4
7,26,0.6
7,29,0.5
7,30,0.9
8,1,0.1
8,4,0.3
8,5,0.3
8,8,1.1
8,9,0.2
8,12,1.4
8,13,0.4
8,16,0.8
8,18,1.5
8,21,0.1
8,22,0.3
8,25,0.5
8,26,0.8
8,29,0.1
8,30,0.8
8,33,0.1
9,1,0.2
9,4,0.7
9,5,0.7
9,8,0.4
9,9,0.2
9,12,0.3
9,16,0.6
9,18,0.8
9,21,0.2
9,22,0.2
9,26,0.7
9,29,0.1
9,30,0.7
9,33,0.1
10,1,0.2
10,4,0.7
10,5,0.3
10,8,0.7
10,9,0.3
10,12,0.2
10,13,1.0
10,16,1.2
10,18,0.9
10,21,1.0
10,22,0.4
10,26,0.3
10,29,0.5
10,30,0.5
10,33,1.3
11,1,0.1
11,4,0.6
11,5,0.1
11,8,0.7
11,9,0.1
11,12,0.5
11,16,0.2
11,18,0.4
11,22,0.4
11,25,0.1
11,26,0.2
11,30,0.4
11,33,0.3
12,1,0.1
12,4,0.4
12,5,0.1
12,6,0.1
12,9,0.2
12,12,0.4
12,18,0.6
12,22,0.4
12,23,0.1
12,25,0.1
12,26,0.2
12,27,0.7
12,28,0.1
12,29,0.1
12,30,0.2
12,32,0.2
13,1,0.1
13,5,0.1
13,9,0.2
13,12,0.5
13,18,0.1
13,21,0.3
13,22,0.1
13,25,0.1
13,26,0.1
13,29,0.2
13,30,0.1
13,33,0.1
14,5,0.1
14,8,0.1
14,12,0.3
14,13,0.2
14,16,0.4
14,18,0.1
14,22,0.1
14,25,0.1
14,26,0.9
14,29,0.1
14,30,0.5
14,33,0.1
15,1,1.3
15,4,0.2
15,5,0.3
15,8,0.1
15,9,0.3
15,12,0.1
15,16,0.3
15,21,0.1
15,22,0.2
15,30,0.3
16,4,0.1
16,5,0.8
16,8,0.1
16,12,0.5
16,13,0.1
16,16,0.1
16,18,1.1
16,21,0.1
16,22,0.3
16,25,0.1
16,30,0.5
17,1,0.3
17,4,0.4
17,5,0.5
17,9,0.1
17,12,0.1
17,13,0.2
17,16,0.3
17,18,0.2
17,21,0.3
17,25,0.3
17,26,0.4
17,30,0.1
18,4,0.2
18,5,0.1
18,8,0.1
18,9,0.2
18,13,0.1
18,18,0.1
18,21,0.1
18,25,1.0
18,26,0.1
18,29,0.1
18,30,0.1
18,33,1.6
19,1,0.1
19,5,2.8
19,8,0.1
19,22,0.2
19,26,0.2
19,30,0.2
19,33,0.1
20,4,0.3
20,8,0.4
20,12,0.1
20,16,0.1
20,21,0.1
20,26,0.1
20,30,0.1
21,4,0.2
21,18,0.1
21,30,0.1
22,26,1.1
23,8,0.6
24,14,0.1
