episode,reward,picks_per_hour,dist_per_agent,congestion_rate,norm_picks,norm_distance,norm_congestion,aisle_width,centre_aisle_width,depot_col,shelf_start_row,shelf_end_row,cross_aisle_row
1,0.609803799460281,48.198217778740876,3382.1,0.4162337662337662,0.5443013684617714,0.4527517253583436,0.832358304560728,2,2,17,2,23,12
2,0.6715958937337173,49.84907938424103,3163.4,0.3957765667574932,0.6359823235177279,0.5231173887163977,0.8556879689670266,2,3,17,2,22,12
3,0.6588020246553418,49.04595235406748,3114.9,0.4040055248618784,0.5913804908067071,0.5387220282813983,0.8463035548779201,2,2,15,1,23,13
4,0.6507873869972077,49.077542742864026,3138.0,0.4201101928374656,0.5931348698568993,0.5312897154164186,0.8279375757183054,2,2,15,1,23,13
5,0.6111487725623452,47.9329968860704,3315.1,0.4186827956989247,0.5295722690267791,0.4743086501182413,0.8295653985420155,2,2,13,2,23,12
6,0.690683181150223,49.64510241330094,2914.4,0.40588235294117647,0.6246544184753529,0.6032319299882563,0.8441631949870598,1,2,17,1,23,11
7,0.6537235770816261,49.14116710271587,3185.5,0.40208333333333335,0.5966682623936248,0.5160068209970882,0.8484956478541653,2,2,19,2,23,13
8,0.6420578249062967,49.94828825354235,3342.9,0.42766898294377764,0.641491909455921,0.4653641350686121,0.8193174301943571,2,2,19,1,22,12
9,0.777134789972725,53.036611013345556,2725.4,0.3969410050983248,0.8130025795184328,0.6640417625199079,0.8543600278798343,2,1,17,2,21,13
10,0.6682607037978479,49.37532022228081,2990.3,0.43031609195402304,0.6096720063534595,0.5788114734318944,0.8162986316081899,1,2,15,2,22,12
11,0.7059996883377704,51.20346127796079,3045.8,0.40440653873489696,0.7111982138825069,0.5609546178472031,0.845846233283601,2,2,19,1,23,11
12,0.5985014704023417,47.96567900803671,3440.4,0.4181937172774869,0.5313872777138451,0.4339939833657759,0.8301231501274043,1,2,15,3,23,13
13,0.7121165848229629,51.35184844583124,3010.7,0.4054441260744986,0.7194389272306676,0.5722478724602242,0.8446629547779969,2,2,19,1,23,13
14,0.7702597403439895,51.53996733577876,2581.7,0.3826860841423948,0.7298861503273791,0.7102765399527035,0.8706165307518857,2,3,17,2,21,13
15,0.7314123314388343,49.77599890841871,2570.5,0.40213815789473684,0.631923783542595,0.7138800855842087,0.8484331251896995,2,3,19,1,22,12
16,0.6792147456245512,49.670148696390356,3138.5,0.37404580152671757,0.6260453692047108,0.5311288428435835,0.8804700248253593,2,2,17,2,23,12
17,0.6640391637729512,48.90602428080505,3128.5,0.3795774647887324,0.5836095551007108,0.5343462943002847,0.8741616419178585,2,2,15,2,23,11
18,0.7064613137085385,50.487547555865454,2861.9,0.42021276595744683,0.6714397910318648,0.6201235501359372,0.8278205999578135,2,2,19,1,23,10
19,0.7317953561885521,49.55911463019373,2614.1,0.3782679738562091,0.6198790684083647,0.6998519972329917,0.8756550029242999,2,2,15,1,23,15
20,0.7186284951864225,51.253646156921576,2818.1,0.43786982248520717,0.713985241951464,0.6342159875162883,0.8076842560915153,1,1,13,1,23,13
21,0.7251388353132247,51.17973836688101,2874.4,0.40126050420168063,0.7098807569029179,0.6161017358150608,0.8494340132216952,1,1,15,1,22,12
22,0.6563290300545124,48.85907072415577,3046.6,0.42067988668555245,0.5810019792127394,0.560697221730667,0.8272878892201307,1,3,17,2,22,12
23,0.6122700072368472,48.52329038651843,3360.8,0.4315856777493606,0.5623543457945063,0.45960489696111695,0.8148507789549184,2,2,19,1,23,12
24,0.6698843018486476,49.08202457318399,2988.6,0.41224188790560473,0.5933837692696451,0.5793584401795338,0.8369106960967639,1,3,17,2,23,11
25,0.6933261162080955,49.73241169585687,3042.2,0.36712527154236063,0.6295031582990358,0.5621129003716157,0.8883622899536353,2,2,17,2,23,12
26,0.680577234341768,51.26014983625376,3314.5,0.39823566477630756,0.7143464251848529,0.47450169720564334,0.8528835806348077,2,1,19,1,23,11
27,0.7479213244690085,51.617593602323744,2816.9,0.3788732394366197,0.7341971417700058,0.6346020816910924,0.8749647499459272,2,1,17,1,22,14
28,0.7010665388244608,49.5788888767802,2769.8,0.4161392405063291,0.6209772354542994,0.6497562780521547,0.8324661029669286,1,3,19,2,23,12
29,0.7476640038729895,50.4944708646054,2549.4,0.4003267973856209,0.6718242784748524,0.7206689081578481,0.8504988249862679,1,1,15,1,23,12
